sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Limestone Coast,40702,4525,10008,64,64,124,5639,4674,10319,58,38,98,2006,1615,3619,16,24,33,2083,1675,3750,30,22,50,1999,1716,3719,41,33,75,2071,1773,3841,3,0,3,254,120,379,3,0,3,263,117,384,486,427,915,25208,24752,49960,1304,1280,2579,27000,26457,53458,0,0,0,20,8,31,6,3,6,18,9,36,76,91,170,2222,2350,4566,193,177,364,2485,2616,5099,559,522,1084,27450,27108,54553,1499,1459,2950,29503,29080,58587,44,5,46,754,491,1237,66,64,131,862,560,1415
Murray and Mallee,40703,5448,11597,87,63,150,6437,5730,12167,95,121,215,2388,1917,4311,39,25,63,2524,2065,4591,76,66,145,2552,2324,4874,39,46,88,2673,2436,5106,10,7,13,184,184,371,5,0,3,194,191,385,1020,1073,2086,26864,26669,53531,1773,1647,3426,29653,29392,59044,0,0,0,39,11,50,11,8,18,51,21,65,115,107,215,1827,1939,3766,193,195,388,2130,2238,4374,1127,1175,2305,28728,28625,57352,1975,1848,3822,31835,31649,63486,95,3,101,780,454,1233,53,94,147,927,551,1480
Augusta - Margaret River - Busselton,50101,4739,9783,43,41,86,5161,4853,10013,25,14,43,1037,914,1954,10,16,24,1070,949,2016,12,9,17,589,516,1108,4,8,10,605,533,1134,4,4,4,74,34,108,0,0,0,74,36,109,318,355,674,18868,19980,38840,1190,1214,2399,20371,21549,41919,3,0,3,35,36,67,0,0,0,36,34,70,27,16,44,1355,1633,2988,145,161,297,1522,1815,3334,341,375,715,20252,21646,41905,1333,1369,2700,21927,23395,45320,7,6,7,177,339,515,70,70,142,253,412,670
Bunbury,50102,11175,23294,95,100,192,12512,11631,24138,82,82,170,2568,2178,4743,23,29,54,2676,2294,4970,51,45,92,1543,1437,2986,26,27,56,1626,1507,3128,3,9,9,122,118,241,0,0,0,131,124,254,1074,1207,2281,38637,40116,78751,2454,2612,5070,42160,43939,86097,0,0,0,21,15,34,8,3,9,25,23,45,102,115,217,3068,3747,6808,402,417,826,3568,4282,7849,1170,1321,2498,41720,43877,85599,2862,3041,5900,45753,48244,93996,104,13,114,585,499,1080,127,134,264,807,651,1462
Manjimup,50103,2459,5302,29,28,60,2937,2544,5475,27,17,38,657,463,1121,11,7,15,694,484,1175,5,15,21,433,313,746,11,8,19,451,332,783,0,0,0,48,38,80,0,0,3,46,37,87,213,217,433,8966,9077,18038,743,757,1498,9921,10045,19966,0,0,0,38,31,64,10,6,17,44,37,85,25,16,43,248,296,541,49,55,103,319,367,685,237,234,472,9248,9396,18645,800,818,1611,10280,10454,20733,0,0,0,48,81,125,30,66,101,76,151,230
Mandurah,50201,11296,22276,89,110,203,11275,11650,22922,72,78,150,2647,2532,5178,26,38,62,2749,2644,5390,35,32,65,1592,1523,3115,28,23,56,1653,1575,3230,6,3,7,98,91,189,4,3,7,111,91,201,856,923,1780,34791,37367,72149,1852,1987,3840,37499,40274,77772,0,0,0,28,22,49,3,0,3,32,20,50,78,86,162,4278,5194,9469,477,498,974,4836,5771,10608,935,1008,1939,39089,42582,81668,2334,2481,4817,42361,46075,88429,5,5,9,270,494,759,28,28,59,300,525,824
Cottesloe - Claremont,50301,2762,4825,13,22,28,2102,2800,4902,10,15,26,709,784,1496,0,3,5,727,801,1524,10,0,7,253,336,581,0,8,13,264,342,605,4,0,4,34,41,72,0,0,0,30,41,78,56,54,109,22454,23248,45701,718,740,1456,23225,24041,47269,0,0,0,0,0,0,0,0,0,0,0,0,51,31,74,5909,6829,12739,555,627,1177,6518,7481,13996,104,85,186,28365,30073,58438,1269,1364,2636,29741,31519,61261,59,79,139,1181,1449,2634,80,96,173,1322,1620,2941
Perth City,50302,4129,7962,25,28,54,3940,4220,8153,15,14,34,849,858,1712,10,14,21,880,883,1763,9,4,13,756,1112,1865,9,8,22,778,1130,1900,0,5,4,166,256,426,5,3,4,170,265,432,84,104,184,20254,21237,41497,911,920,1838,21255,22268,43519,0,0,0,5,5,15,0,0,0,7,5,14,155,141,297,21517,21444,42960,2821,2729,5546,24497,24307,48806,242,244,487,41785,42692,84473,3736,3647,7384,45759,46578,92340,41,49,90,1272,1444,2718,480,422,897,1787,1920,3705
Bayswater - Bassendean,50401,5655,11375,30,40,71,5872,5814,11690,31,33,65,1259,1277,2542,5,5,11,1299,1311,2614,30,32,58,1281,1547,2824,18,12,29,1323,1588,2910,8,10,14,286,371,657,0,0,5,292,378,675,424,411,838,27597,27952,55545,1190,1197,2382,29206,29565,58765,0,0,0,0,0,0,0,0,0,0,0,0,130,169,305,7557,7885,15442,578,619,1201,8267,8674,16942,557,580,1135,35151,35835,70986,1767,1819,3586,37475,38236,75708,10,7,16,258,556,817,32,55,93,300,616,920
Mundaring,50402,3847,7996,28,45,71,4271,3987,8262,28,26,52,928,762,1690,12,7,19,969,792,1767,21,10,37,477,452,929,3,6,6,504,470,975,3,3,3,42,38,75,0,0,3,44,39,84,394,404,802,16709,17228,33939,854,832,1683,17958,18463,36423,0,0,0,9,8,9,0,0,0,9,8,9,35,29,63,518,638,1149,37,50,92,594,716,1306,437,431,862,17232,17868,35099,890,883,1780,18554,19189,37740,558,5,563,1375,102,1477,0,3,3,1927,112,2040
Swan,50403,10473,21846,89,81,171,11791,10877,22666,99,70,170,2324,2104,4422,26,15,42,2448,2193,4638,45,53,101,1501,1668,3169,14,10,30,1560,1734,3294,13,4,22,351,461,817,3,6,12,371,475,843,1283,1335,2613,49856,50999,100854,2591,2667,5263,53730,55002,108730,0,0,3,39,35,68,11,14,26,51,46,96,184,218,405,5082,5692,10779,536,574,1109,5802,6491,12288,1466,1560,3020,54981,56723,111703,3137,3258,6394,59576,61544,121118,40,204,243,487,675,1161,35,36,62,560,907,1468
Joondalup,50501,12258,24449,89,83,174,12374,12427,24803,19,26,45,2266,2325,4596,17,11,33,2304,2369,4672,11,4,18,1032,1278,2309,22,14,34,1067,1297,2361,0,3,3,113,137,251,0,0,0,117,138,253,400,448,846,64513,66028,130537,1927,1925,3851,66841,68393,135229,0,0,0,7,0,6,0,0,0,7,0,6,44,41,80,4852,5845,10696,261,324,590,5153,6211,11372,441,484,928,69365,71874,141241,2194,2252,4440,71996,74610,146607,4,3,9,370,724,1095,31,38,74,409,771,1178
Stirling,50502,12512,23775,86,84,167,11538,12821,24362,50,62,105,2654,2997,5652,19,23,44,2725,3080,5805,32,47,79,2862,3563,6421,34,44,78,2932,3655,6584,13,3,16,751,951,1698,7,3,14,773,957,1728,554,606,1165,53848,55046,108893,2329,2468,4795,56732,58121,114847,0,0,0,3,3,3,0,0,0,3,3,5,310,393,700,28984,32422,61407,2160,2295,4460,31462,35107,66569,868,1000,1870,82832,87465,170302,4487,4764,9250,88192,93229,181422,27,15,49,616,1127,1742,28,42,72,671,1187,1861
Wanneroo,50503,14326,29673,114,119,230,15676,14710,30384,76,68,139,3224,2945,6167,21,28,49,3315,3038,6358,21,36,55,1830,2206,4035,23,21,45,1874,2266,4139,9,7,13,637,781,1411,3,3,8,651,793,1436,1112,1220,2331,76261,78649,154914,3797,3928,7728,81167,83803,164973,0,0,0,11,14,29,0,4,5,16,20,33,97,116,220,5850,6898,12744,419,508,930,6370,7521,13890,1210,1337,2548,82129,85563,167689,4218,4441,8661,87555,91344,178896,6,3,8,305,592,891,16,29,48,327,625,951
Armadale,50601,6956,14481,48,47,94,7774,7225,14995,63,49,117,1519,1312,2831,15,13,27,1598,1379,2977,33,26,54,787,773,1555,13,11,19,831,803,1632,3,3,12,160,194,358,9,0,9,172,199,371,781,883,1664,31329,31901,63227,1632,1645,3277,33741,34426,68170,0,0,0,0,0,0,0,0,0,0,0,0,104,122,222,3138,3588,6727,284,264,545,3524,3972,7495,885,1008,1890,34468,35484,69955,1912,1910,3828,37265,38407,75665,0,0,0,129,219,347,5,15,24,137,237,375
Belmont - Victoria Park,50602,4034,8416,26,26,57,4551,4195,8750,30,60,84,964,930,1894,8,10,24,1001,1000,2000,25,36,60,885,1041,1927,15,13,29,923,1086,2011,14,8,18,313,266,585,5,0,5,328,272,602,436,482,918,19762,19613,39374,1458,1417,2878,21663,21507,43168,0,0,0,0,0,0,0,0,0,0,0,0,179,178,356,10071,9809,19876,1285,1166,2448,11529,11154,22680,610,654,1267,29830,29424,59256,2747,2582,5326,33186,32663,65848,18,29,50,410,380,787,76,55,133,504,464,969
Canning,50603,5616,11119,38,25,64,5619,5750,11370,21,26,43,1400,1443,2843,9,17,27,1427,1487,2916,18,17,35,1004,1343,2342,11,11,27,1035,1367,2402,5,0,9,281,351,635,0,7,7,290,356,648,312,353,667,34392,34511,68904,1271,1229,2501,35973,36087,72069,0,0,0,3,3,3,0,0,0,3,3,3,67,96,162,7333,7528,14857,528,510,1038,7927,8135,16060,382,451,826,41726,42039,83765,1802,1742,3539,43905,44230,88129,5,18,24,534,1059,1591,18,27,43,560,1100,1664
Gosnells,50604,9399,19381,52,69,124,10244,9761,20007,71,74,144,2384,2060,4440,10,14,29,2463,2146,4611,52,39,91,1731,1783,3514,20,13,32,1801,1836,3637,8,10,10,613,632,1243,3,3,6,620,644,1264,949,1144,2099,48322,47510,95835,1955,1905,3866,51228,50563,101796,0,0,0,7,7,14,0,0,0,7,7,14,90,107,192,4348,4883,9227,377,364,741,4809,5354,10160,1038,1249,2289,52677,52395,105073,2330,2273,4606,56049,55921,111967,291,0,294,842,258,1102,26,33,56,1159,294,1454
Kalamunda,50605,5173,10752,36,38,74,5707,5317,11027,27,37,68,1133,1075,2208,12,15,30,1174,1124,2301,4,14,19,664,628,1290,12,9,16,677,644,1329,3,3,4,93,98,188,3,0,3,98,100,201,436,447,881,23945,24696,48639,1124,1104,2230,25503,26249,51756,0,0,0,15,6,19,0,0,0,15,6,19,17,19,29,755,1049,1808,58,100,159,835,1164,1999,448,467,916,24710,25758,50465,1185,1201,2392,26351,27425,53772,9,57,62,266,264,531,9,11,24,287,332,622
Serpentine - Jarrahdale,50606,2554,5562,13,15,32,3071,2613,5678,21,11,33,612,398,1013,7,3,7,635,408,1051,0,3,6,276,210,490,4,3,5,283,214,497,0,0,0,27,24,51,0,0,0,27,24,51,229,244,474,11466,11739,23200,631,630,1260,12324,12609,24935,0,0,0,9,9,16,7,3,12,17,13,23,0,4,11,83,103,183,8,9,17,92,118,210,228,253,484,11557,11847,23404,642,639,1278,12428,12736,25166,38,0,37,330,51,379,0,0,0,366,56,425
South Perth,50607,2303,4179,16,22,30,1942,2368,4315,24,15,39,496,514,1012,3,7,10,522,532,1058,5,7,16,253,372,620,0,4,8,259,386,646,0,3,3,46,86,130,3,0,3,49,93,136,123,136,260,10394,10722,21113,446,483,928,10963,11347,22305,0,0,0,0,0,0,0,0,0,0,0,0,58,69,124,6978,7648,14624,606,639,1245,7637,8360,15996,184,204,386,17369,18371,35737,1054,1125,2180,18604,19701,38307,74,28,101,639,697,1338,39,25,65,754,747,1504
Cockburn,50701,7729,15973,66,56,118,8450,7945,16389,42,42,83,1855,1697,3548,9,17,23,1906,1751,3658,19,32,55,1429,1602,3026,18,11,34,1470,1650,3116,6,4,14,222,295,512,7,0,11,235,303,537,613,634,1245,38546,39791,78333,1765,1839,3597,40921,42265,83183,0,0,0,4,6,11,0,0,0,4,6,11,88,129,220,5524,6330,11851,571,629,1199,6181,7080,13265,702,760,1461,44070,46124,90198,2331,2464,4801,47104,49357,96462,0,3,6,316,342,655,65,76,140,382,421,805
Fremantle,50702,2044,4136,17,17,34,2156,2110,4265,19,15,38,492,515,1009,4,7,12,521,542,1062,10,8,20,508,701,1205,9,7,14,522,716,1240,3,0,3,68,99,167,0,0,0,73,99,170,125,128,258,10357,11364,21719,528,625,1152,11012,12117,23133,3,3,5,0,0,0,0,0,0,3,3,8,84,96,176,4128,4660,8788,585,597,1178,4799,5348,10150,215,231,439,14492,16023,30508,1112,1222,2332,15812,17471,33284,13,3,16,391,340,730,115,60,174,525,408,931
Kwinana,50703,3212,6739,26,15,41,3643,3358,6997,27,30,60,770,667,1431,6,5,9,806,703,1504,21,25,42,425,379,805,5,7,9,447,405,857,3,3,8,47,79,126,0,0,0,51,83,133,449,465,920,15157,15374,30530,968,948,1921,16575,16793,33367,0,0,0,4,3,3,0,0,0,4,3,3,49,37,82,939,1139,2078,166,165,322,1153,1334,2489,497,506,1001,16100,16515,32613,1135,1115,2249,17729,18130,35864,336,3,337,669,66,741,19,7,30,1023,77,1100
Melville,50704,6927,12759,45,48,98,5937,7028,12969,21,13,39,1412,1613,3030,11,14,29,1443,1646,3093,13,15,25,862,1191,2050,3,15,18,874,1223,2095,4,5,10,126,150,280,0,0,3,130,156,292,237,227,468,36570,38211,74780,1172,1215,2379,37975,39654,77626,0,0,0,0,0,0,0,0,0,0,0,0,65,84,153,6941,8742,15687,417,549,966,7422,9376,16799,306,314,618,43506,46952,90467,1586,1761,3348,45396,49029,94426,30,11,35,486,1035,1520,46,55,100,561,1098,1659
Rockingham,50705,12008,24572,80,96,181,12888,12373,25265,70,58,128,2536,2236,4768,22,21,44,2624,2318,4938,34,34,67,1193,1260,2450,16,19,35,1240,1316,2559,15,7,22,77,121,195,4,0,3,90,129,222,1059,1176,2231,48939,51688,100624,2931,3146,6081,52928,56007,108931,0,0,0,9,10,15,0,0,0,9,10,15,60,81,141,2804,3324,6131,308,382,689,3174,3785,6962,1118,1250,2366,51755,55019,106772,3238,3535,6768,56104,59804,115907,7,4,17,468,459,929,289,108,394,766,573,1340
Albany,50901,5827,12225,65,68,135,6661,6104,12768,74,49,124,1450,1212,2663,19,7,23,1536,1273,2811,67,43,116,1060,848,1908,19,11,30,1149,908,2055,5,7,10,168,115,284,0,3,3,177,126,297,833,813,1645,22445,22806,45251,1693,1667,3357,24971,25284,50252,0,0,0,35,15,53,5,3,14,43,17,68,47,42,87,950,1266,2211,122,154,284,1116,1464,2582,873,857,1729,23431,24086,47513,1828,1826,3650,26135,26768,52898,217,23,240,624,444,1074,64,65,129,912,532,1444
Wheat Belt - North,50902,5647,12407,60,75,136,7091,6006,13097,99,76,176,1613,1075,2689,14,19,34,1728,1175,2902,71,67,136,1154,810,1963,24,14,41,1240,892,2140,7,5,14,78,52,125,3,3,3,87,56,147,986,1054,2045,21427,20749,42179,1975,1959,3926,24387,23763,48154,6,3,9,82,57,141,12,3,16,99,65,165,47,46,89,548,570,1116,102,109,211,692,721,1415,1039,1106,2144,22059,21372,43439,2083,2071,4153,25185,24546,49734,45,32,77,982,311,1292,168,62,226,1193,406,1590
Wheat Belt - South,50903,1897,4100,32,26,54,2332,2037,4378,27,40,67,581,412,988,9,7,20,618,456,1074,36,22,58,415,289,704,10,5,18,455,326,778,0,0,3,15,15,39,0,0,0,20,19,37,405,423,825,7555,7352,14912,778,732,1507,8738,8506,17243,0,0,0,4,5,12,3,0,3,6,3,15,33,42,77,271,302,573,47,57,105,353,407,755,437,461,900,7837,7658,15494,827,795,1622,9102,8914,18017,5,7,12,201,139,333,50,46,100,253,193,447
Kimberley,51001,1197,3073,27,18,43,3103,2588,5686,370,412,779,357,203,563,13,4,19,747,613,1359,417,397,813,218,103,321,3,3,8,638,508,1144,162,192,352,29,13,38,0,0,0,190,204,394,5424,6013,11442,5635,5661,11299,945,1051,1993,12008,12728,24733,27,24,49,80,67,146,24,16,42,130,109,238,466,520,987,1590,1421,3010,344,308,649,2398,2248,4649,5921,6561,12478,7309,7153,14458,1312,1378,2690,14538,15087,29625,387,173,555,453,315,768,219,165,379,1055,651,1704
East Pilbara,51002,1012,3252,39,18,61,2764,1496,4260,129,119,253,300,178,474,7,0,8,435,297,729,124,115,234,109,67,180,4,5,5,235,184,422,30,63,90,19,14,35,3,0,3,59,74,132,1688,1737,3424,5204,4907,10110,892,845,1745,7786,7490,15276,15,21,44,4,6,16,0,0,0,24,30,55,152,157,309,900,765,1661,246,213,458,1292,1139,2436,1858,1919,3780,6109,5677,11791,1141,1061,2200,9111,8661,17768,281,121,400,2991,539,3528,1380,293,1673,4652,955,5608
West Pilbara,51003,1486,4994,42,20,62,3985,1889,5874,98,109,206,487,224,709,8,3,10,593,327,921,87,57,145,158,88,250,5,6,7,254,153,400,18,21,43,39,12,47,0,0,0,61,31,93,1353,1363,2713,8738,8006,16747,901,813,1717,10996,10176,21172,0,0,0,19,10,31,5,3,10,28,14,43,239,250,485,1030,792,1824,172,159,328,1437,1200,2641,1590,1612,3199,9790,8813,18601,1076,972,2052,12455,11393,23854,319,59,371,5174,688,5861,2045,256,2298,7530,1002,8532
Esperance,51101,1391,3132,27,19,48,1830,1484,3315,31,13,43,412,308,721,3,3,3,444,326,775,15,8,27,265,204,469,8,9,11,283,220,502,3,3,9,18,5,24,0,0,0,23,12,33,217,217,440,5580,5549,11131,702,630,1337,6504,6397,12904,0,0,0,15,10,29,14,5,14,25,14,46,29,29,55,373,423,793,65,64,127,464,513,977,246,248,491,5974,5983,11951,779,694,1474,6998,6927,13922,29,44,75,152,128,275,36,31,65,216,196,415
Gascoyne,51102,676,1634,18,11,25,1101,837,1938,54,44,95,222,131,348,0,0,0,273,177,450,29,28,64,181,100,283,0,0,0,212,129,345,8,10,13,15,13,25,0,0,0,19,18,40,533,558,1088,2737,2591,5324,389,355,745,3665,3500,7164,3,0,3,42,24,58,10,7,12,49,25,75,42,32,75,440,344,786,67,59,123,551,434,985,574,591,1165,3218,2954,6177,470,411,884,4263,3962,8224,8,4,12,179,134,314,63,33,95,251,174,424
Goldfields,51103,2831,6820,36,34,66,4427,3341,7766,177,173,356,793,562,1355,3,9,8,976,742,1719,215,235,450,425,296,722,10,13,22,650,542,1196,24,16,40,47,30,80,0,0,0,74,51,129,1835,2005,3847,12106,11439,23546,1191,1126,2325,15136,14573,29713,0,0,0,6,6,14,8,4,10,15,13,26,189,222,412,1865,1642,3516,403,306,708,2452,2177,4627,2022,2232,4259,13983,13087,27072,1595,1439,3036,17612,16761,34367,110,40,149,1114,305,1415,470,105,578,1695,456,2148
Mid West,51104,4850,10695,67,49,113,6379,5458,11836,161,150,318,1380,996,2375,18,14,36,1561,1163,2720,131,119,248,1018,759,1774,14,9,22,1158,883,2042,14,12,29,69,65,129,4,5,3,86,82,170,1874,2108,3981,17821,18202,36028,1527,1541,3067,21221,21854,43073,7,4,6,39,38,78,11,0,12,59,38,94,225,257,483,1690,1769,3462,243,234,471,2158,2265,4417,2103,2367,4474,19554,20005,39561,1780,1776,3554,23434,24151,47590,235,79,312,904,367,1270,344,126,469,1479,567,2049
Brighton,60101,2170,4299,30,34,62,2327,2377,4698,63,51,111,578,589,1168,12,8,18,654,648,1307,38,33,69,292,235,531,11,3,13,335,270,607,3,0,5,26,9,34,3,0,3,31,13,45,661,708,1373,6237,6431,12668,448,455,903,7342,7600,14942,0,0,0,7,3,8,3,0,3,8,3,15,47,63,108,401,526,924,48,53,102,495,639,1131,710,773,1478,6642,6963,13598,498,512,1011,7849,8241,16093,0,0,0,42,46,91,3,0,3,47,48,95
Hobart - North East,60102,6059,11646,44,64,101,5845,6314,12165,74,59,134,1336,1412,2754,18,21,42,1428,1499,2930,36,30,68,718,890,1614,25,13,36,776,939,1718,3,0,5,58,54,115,0,0,0,61,55,122,821,828,1646,20556,22253,42805,804,893,1693,22175,23970,46142,0,0,0,4,0,3,0,0,0,4,0,9,35,41,80,839,969,1807,73,89,157,947,1102,2045,859,870,1730,21392,23221,44620,879,974,1852,23132,25069,48200,68,17,85,632,395,1025,30,59,88,728,473,1203
Hobart - North West,60103,6610,12927,72,74,143,6667,6998,13667,91,96,184,1746,1915,3667,36,42,74,1872,2047,3926,51,40,99,1146,1323,2475,27,30,54,1226,1400,2626,3,5,12,196,232,423,3,3,13,203,237,446,983,1110,2088,19075,20198,39275,1115,1167,2277,21172,22469,43646,0,0,0,0,0,6,0,0,0,0,0,6,159,156,318,2456,2791,5243,268,287,559,2886,3234,6123,1148,1265,2408,21532,22992,44526,1387,1455,2834,24060,25711,49772,7,4,11,166,239,403,75,109,187,248,351,597
Hobart - South and West,60104,3093,5984,20,29,47,3078,3249,6324,40,33,76,655,684,1340,6,5,14,702,728,1428,18,27,41,370,377,744,6,11,16,393,403,799,0,0,0,17,18,39,0,0,0,23,18,36,537,535,1072,12994,14069,27065,516,527,1040,14043,15134,29179,0,0,0,3,8,8,0,0,0,3,8,8,19,25,45,624,799,1427,30,39,65,679,862,1541,558,554,1113,13627,14875,28501,543,566,1108,14725,15999,30728,0,3,3,93,184,282,14,9,14,111,196,307
Hobart Inner,60105,2985,5706,33,28,56,2805,3069,5870,20,14,33,711,738,1450,9,4,12,733,759,1493,11,13,22,491,670,1155,3,10,13,500,692,1196,0,4,5,77,91,168,0,0,0,77,91,172,221,204,424,15763,16631,32391,695,674,1373,16680,17505,34178,0,0,0,4,0,4,0,0,0,3,0,3,96,102,197,4934,5157,10087,393,407,801,5420,5664,11090,320,302,620,20698,21784,42480,1088,1082,2171,22106,23167,45272,19,19,40,720,915,1638,128,106,230,863,1041,1904
Sorell - Dodges Ferry,60106,2100,4283,17,18,42,2309,2205,4510,35,29,57,555,510,1062,7,9,18,599,542,1143,16,5,23,271,241,513,10,8,19,297,262,558,3,3,3,18,9,20,0,0,0,20,8,29,305,282,584,6554,6742,13297,367,393,760,7225,7423,14648,0,0,0,16,8,22,0,3,3,17,13,28,9,5,8,96,103,195,6,8,16,109,120,226,314,284,595,6657,6857,13519,380,410,786,7346,7555,14900,0,0,0,28,52,83,9,8,15,35,61,99
Launceston,60201,9582,18921,91,106,191,9757,10024,19779,89,86,176,2323,2425,4754,32,37,71,2440,2553,4990,56,64,117,1484,1696,3185,20,26,43,1559,1789,3346,0,3,5,227,292,519,3,6,5,230,295,532,1013,1088,2099,28547,30562,59112,1544,1703,3247,31106,33356,64462,0,0,0,11,8,21,0,0,0,11,8,21,162,181,339,3859,4426,8283,424,480,913,4444,5093,9535,1168,1271,2444,32419,34997,67418,1971,2185,4160,35561,38452,74017,20,16,39,711,932,1648,81,126,203,813,1073,1887
Meander Valley - West Tamar,60202,2916,6214,48,18,72,3426,3016,6441,28,29,56,960,833,1791,12,13,31,999,876,1877,19,9,27,522,383,906,13,3,17,555,401,954,3,0,3,24,14,37,0,0,0,27,14,40,298,335,634,9042,9206,18242,608,581,1185,9946,10119,20063,0,0,0,6,0,8,0,0,0,6,0,8,8,5,6,270,279,547,45,39,87,314,320,642,302,339,642,9313,9486,18797,650,621,1268,10265,10440,20708,0,0,0,40,91,129,6,8,10,45,92,137
North East,60203,4924,10648,63,49,115,5969,5147,11113,63,50,118,1625,1379,3009,27,26,50,1720,1459,3175,40,24,65,940,743,1687,15,8,23,998,775,1775,4,0,6,53,23,81,3,0,3,63,24,85,559,593,1147,14706,14638,29339,1129,1083,2211,16393,16309,32703,0,0,0,22,4,28,6,3,7,23,11,33,29,26,60,472,518,993,48,40,87,553,582,1142,588,614,1205,15195,15161,30358,1185,1122,2315,16974,16902,33873,4,0,4,126,190,319,15,18,34,149,210,357
Central Highlands (Tas.),60301,1368,3104,16,16,37,1825,1463,3290,23,20,44,537,381,916,14,11,26,573,409,983,26,14,37,305,181,479,4,3,9,326,195,524,0,0,5,9,7,14,0,0,0,12,11,22,250,287,537,4761,4339,9102,378,334,712,5396,4952,10347,0,0,0,7,5,11,0,0,0,7,5,11,3,3,5,39,35,81,4,3,10,52,45,94,255,285,538,4810,4377,9189,383,333,720,5447,4997,10448,0,0,0,16,20,37,8,6,10,26,27,52
