lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Hope Vale (S),33830,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,6,0,0,0,9,16,3,0,5,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,14,0,22,11,3,0,6,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Ipswich (C),33960,53,416,13,132,52,18,0,9,6,697,25,150,4,14,30,5,0,0,0,233,509,3811,144,577,863,244,23,115,58,6342,3,4,0,30,14,0,0,10,0,56,167,349,50,312,307,85,21,48,14,1336,430,531,142,1316,1008,331,41,136,50,3984,515,435,770,2387,1955,759,182,528,70,7599,57,30,14,130,233,172,27,95,5,757,68,72,50,344,320,137,30,78,8,1109,20,37,15,42,57,34,12,21,7,232,40,85,30,153,123,78,19,112,79,724,2033,6789,1252,5510,5088,1879,352,1172,303,24372,10,30,3,3,8,0,0,0,0,56,37,241,3,7,9,0,0,3,3,303,317,1216,60,93,197,51,23,40,34,2037,15,64,0,3,12,3,0,3,0,95,94,605,21,168,83,21,7,11,14,1029,61,211,14,17,45,9,9,3,3,372,1144,5812,446,871,1167,392,184,297,102,10426,7,5,11,38,14,4,4,11,3,100
Isaac (R),33980,3,31,0,4,4,0,0,0,0,50,3,10,0,0,0,0,0,0,0,19,99,415,18,28,57,15,10,29,3,676,0,0,0,0,0,0,0,0,0,5,17,19,6,20,22,4,3,8,0,107,40,26,4,63,56,18,14,12,3,236,54,41,113,111,183,55,89,73,13,730,10,0,7,13,22,8,9,23,0,97,13,5,7,23,31,4,17,11,0,112,0,3,0,5,4,3,0,8,0,23,14,3,8,12,12,13,6,31,12,107,269,591,159,293,398,129,157,186,27,2213,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,47,61,7,5,9,0,4,3,0,134,0,0,0,0,0,0,0,0,0,0,12,53,4,6,7,0,3,3,0,96,10,12,3,3,0,0,0,0,0,28,200,651,68,50,69,15,37,35,6,1140,3,0,0,0,0,0,0,0,0,5
Kowanyama (S),34420,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,4,0,3,0,19,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,14,0,18,6,5,0,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Livingstone (S),34530,18,100,0,21,10,5,0,3,3,154,3,46,0,0,7,0,0,0,0,59,135,868,29,97,143,33,3,19,6,1327,0,8,0,4,0,0,0,0,0,14,39,85,9,57,47,12,0,11,4,265,64,76,19,156,116,37,3,12,3,499,98,59,185,368,331,124,28,67,5,1264,16,3,9,28,38,40,6,8,0,153,17,11,11,56,47,26,0,14,3,190,3,6,0,4,4,4,0,3,0,31,13,16,7,30,28,24,4,18,16,159,438,1463,275,832,781,300,52,158,45,4349,5,9,0,0,0,0,0,0,0,12,11,81,0,0,0,0,0,0,0,100,55,187,3,9,12,0,0,0,0,272,0,15,0,0,0,3,0,0,0,15,26,146,13,22,14,5,0,3,3,233,13,56,4,5,8,0,0,4,0,90,259,1218,79,146,171,45,21,32,10,1983,0,5,0,10,0,0,0,3,0,22
Lockhart River (S),34570,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,11,4,17,0,16,10,0,4,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Lockyer Valley (R),34580,18,73,3,19,8,3,4,0,0,128,3,20,0,0,7,0,0,0,0,35,85,611,37,68,104,30,0,112,4,1050,0,3,0,7,0,0,0,0,0,10,32,65,6,74,46,13,3,15,4,253,95,81,31,209,141,33,3,48,5,646,83,74,171,398,295,116,24,115,13,1288,7,7,13,23,43,32,3,29,0,170,10,7,5,58,47,34,6,28,0,204,3,5,5,3,10,8,0,26,7,62,25,24,6,40,35,26,5,42,19,215,395,1113,288,907,751,288,53,422,47,4259,0,3,0,0,7,0,0,0,0,10,7,73,0,0,0,0,0,0,0,85,48,153,9,6,18,0,3,22,0,255,3,7,0,0,0,0,0,0,0,13,22,107,8,16,8,3,4,3,3,170,5,25,0,3,6,0,0,0,0,43,188,856,68,111,123,51,17,189,12,1611,0,4,3,6,0,0,0,0,0,12
Logan (C),34590,73,570,3,195,105,13,3,16,11,988,38,211,0,15,38,8,0,0,0,307,743,5322,203,820,1347,414,49,239,86,9216,4,19,3,44,29,15,3,5,0,121,282,549,101,482,500,154,23,108,33,2242,621,699,231,1935,1645,482,67,243,58,5974,687,685,1107,3361,2991,1151,300,836,123,11248,56,55,49,214,336,255,41,157,15,1170,117,107,73,494,489,245,31,154,20,1737,31,89,28,75,138,40,10,35,13,453,93,129,54,238,247,164,46,154,134,1265,2976,9549,1895,7954,8075,3008,575,1977,504,36518,14,51,0,0,10,0,0,0,0,81,47,347,18,3,16,5,3,4,3,437,474,1522,98,150,274,108,74,73,33,2815,24,106,5,9,21,4,6,0,5,171,143,826,31,230,139,23,25,15,11,1432,66,277,10,24,54,6,3,0,6,457,1692,8024,724,1148,1843,724,343,509,172,15169,9,20,13,45,33,17,12,9,0,164
Woorabinda (S),37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,5,0,0,0,9,4,3,0,0,0,17,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,8,3,16,7,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Winton (S),37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,3,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,6,0,0,7,6,3,0,0,0,19,7,0,9,11,13,3,0,9,0,48,3,0,0,0,3,0,0,0,0,3,3,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,32,29,11,29,15,9,0,11,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,18,21,3,4,0,0,0,0,0,54,3,0,0,0,0,0,0,0,0,3
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Yarrabah (S),37600,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,3,5,0,3,10,0,0,0,0,20,3,3,0,22,13,0,0,3,0,47,0,0,0,4,4,0,0,4,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,4,0,13,11,32,0,43,30,3,0,7,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,27,0,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
No usual address (Qld),39499,0,10,0,3,3,3,0,0,0,18,0,4,0,0,0,0,0,0,0,8,29,122,3,54,23,16,0,120,5,371,0,0,0,0,0,0,0,0,0,0,7,18,4,5,0,3,0,4,4,50,6,15,4,36,16,5,0,24,0,100,14,18,31,38,41,16,5,25,3,184,0,0,0,5,0,0,0,3,0,17,3,4,0,5,4,6,0,9,0,27,3,0,0,3,0,0,0,7,0,12,0,10,0,7,4,0,0,12,12,45,74,226,44,162,96,58,12,209,21,894,0,4,0,0,0,0,0,0,0,4,0,21,3,0,0,0,0,0,0,25,14,46,0,11,4,0,3,15,0,89,0,0,0,0,0,0,0,0,0,7,3,13,0,3,3,0,0,0,0,26,3,7,0,0,0,0,0,0,0,13,55,207,14,79,30,25,15,179,8,613,0,0,3,0,0,0,0,0,0,3
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide (C),40070,19,89,0,12,16,3,0,0,3,140,6,14,0,3,3,0,0,0,0,29,188,845,36,154,204,93,3,32,24,1585,0,0,0,0,0,0,0,0,0,0,29,55,14,30,30,18,0,13,0,190,45,36,21,59,46,23,0,6,3,241,29,24,45,63,79,29,3,9,3,283,5,5,3,7,9,4,0,0,0,37,8,5,0,20,35,9,3,0,4,81,0,6,0,0,3,7,0,0,0,27,10,11,4,11,12,14,0,3,8,63,439,1545,131,400,527,223,9,81,51,3404,3,14,0,6,3,0,0,0,0,26,46,366,0,3,7,0,0,0,3,419,169,565,30,64,102,50,12,25,10,1021,6,22,3,0,0,0,0,0,0,30,34,164,3,19,29,5,0,4,5,252,18,24,0,3,3,4,0,0,0,58,445,1772,131,266,316,147,21,97,44,3237,0,0,0,4,0,0,0,0,0,3
Adelaide Hills (DC),40120,55,261,0,30,31,0,0,0,4,377,21,47,0,0,3,0,0,0,5,72,306,1580,61,210,305,77,4,39,16,2599,3,6,0,0,4,0,0,0,0,12,81,216,33,118,126,27,8,19,8,636,87,133,35,174,158,30,7,11,9,635,93,86,138,267,266,92,9,67,5,1027,14,13,3,22,40,24,0,5,0,127,23,25,13,62,70,19,0,12,0,227,5,16,3,5,10,8,0,0,0,50,18,28,6,26,43,18,0,18,10,161,843,2973,307,945,1107,300,29,179,65,6755,4,36,0,3,3,0,0,3,0,49,76,397,8,4,18,3,0,0,0,513,232,631,12,27,59,21,7,7,8,1005,9,49,0,0,6,0,0,0,0,70,100,385,11,34,40,5,3,3,5,583,37,68,7,7,8,0,0,0,5,127,760,2706,171,320,409,142,28,95,41,4668,7,6,0,0,4,0,0,0,0,20
Alexandrina (DC),40220,8,59,4,13,7,7,0,3,0,100,5,20,0,4,3,0,0,0,0,33,83,454,19,67,71,14,0,24,3,741,3,0,0,8,0,0,0,0,0,10,47,117,7,69,64,22,4,11,0,337,37,67,13,143,95,17,3,14,0,393,69,58,119,303,217,96,14,72,10,954,8,0,9,27,33,24,3,10,0,115,20,5,8,55,52,27,8,11,3,190,6,4,3,3,11,6,0,0,0,33,15,17,3,34,30,17,0,13,11,139,325,890,194,739,596,229,31,157,25,3190,0,4,0,0,0,0,0,0,0,9,15,37,0,0,3,0,0,0,0,53,36,85,0,7,19,5,0,3,0,156,3,9,0,0,0,0,0,0,0,12,16,92,3,17,12,7,0,9,4,158,8,28,0,3,7,0,0,0,0,43,181,696,46,95,85,33,11,53,8,1210,3,0,0,3,0,0,0,0,0,11
Ceduna (DC),41010,0,12,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,75,0,15,9,3,0,4,0,110,0,0,0,0,0,0,0,0,0,3,7,14,0,9,3,6,0,0,0,39,7,12,0,25,8,3,0,3,0,59,12,11,14,36,21,10,0,5,3,109,3,0,0,4,3,4,0,0,0,17,5,3,0,8,3,3,0,0,3,17,0,0,0,0,0,0,0,0,0,5,3,7,0,3,3,0,0,0,0,18,42,128,16,110,58,25,0,17,5,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3,20,98,0,20,13,7,0,5,0,161,0,0,0,0,0,0,0,0,0,4
Charles Sturt (C),41060,62,441,6,71,58,9,0,9,7,669,28,83,3,13,21,3,0,0,0,150,560,3403,130,561,844,262,17,130,50,5955,4,7,3,14,3,6,0,0,0,36,152,399,51,275,268,71,8,31,10,1265,217,286,86,524,462,126,13,51,25,1781,247,188,456,857,833,346,22,177,41,3163,19,25,15,74,120,71,5,36,3,362,37,55,30,152,213,73,10,25,8,598,12,48,8,33,58,22,0,16,7,204,25,80,16,105,95,60,8,48,34,468,1589,5932,830,2786,3104,1097,83,556,197,16179,12,63,0,4,7,4,0,0,0,84,61,406,7,8,17,3,0,3,0,500,448,1139,78,154,206,90,37,92,25,2262,18,60,3,7,4,3,0,0,0,102,141,643,17,94,85,21,12,19,10,1037,60,121,13,23,28,3,0,3,3,248,1345,5855,444,869,1228,471,167,345,100,10823,6,6,4,12,4,6,0,0,0,47
Anangu Pitjantjatjara (AC),40250,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,39,0,3,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,12,3,3,0,4,0,0,0,0,0,17,3,8,0,14,3,0,0,0,0,32,0,0,0,4,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,10,0,10,0,0,0,0,3,28,27,78,3,49,8,3,0,7,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,55,0,7,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
Barossa (DC),40310,19,56,3,15,10,3,0,0,0,108,4,14,0,0,4,0,0,0,0,24,106,519,29,65,85,33,4,20,7,867,3,0,0,3,0,0,0,4,0,10,40,105,8,61,67,29,0,16,3,317,55,51,17,135,84,37,0,22,0,399,71,53,136,244,213,84,8,88,5,911,11,5,10,17,33,11,4,19,0,114,15,8,11,47,44,21,4,18,0,175,5,6,0,3,7,7,0,8,0,34,15,17,4,25,19,13,4,31,7,138,366,969,211,623,582,242,24,233,18,3266,0,5,0,0,0,0,0,0,0,12,3,41,0,0,3,0,0,3,0,56,57,136,3,0,12,4,0,11,0,222,3,10,0,0,0,0,0,0,0,12,29,84,9,19,15,3,0,0,3,166,11,21,0,0,3,0,0,0,0,43,259,813,53,82,105,51,21,53,4,1445,3,0,0,3,0,0,0,4,0,9
Barunga West (DC),40430,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,49,0,5,4,0,0,3,0,69,0,0,0,0,0,0,0,0,0,0,4,6,0,9,5,3,0,0,0,25,3,3,0,13,10,0,0,0,0,29,6,3,9,19,14,3,0,7,0,64,0,0,0,0,0,0,0,0,0,6,3,0,0,8,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,7,0,15,29,74,13,57,33,5,0,21,3,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,11,59,0,5,4,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
Berri and Barmera (DC),40520,0,25,0,6,3,0,0,0,0,36,0,5,0,5,3,0,0,0,0,9,30,207,8,26,18,6,0,8,0,300,0,0,0,3,0,0,0,0,0,9,12,21,0,29,17,3,0,4,0,91,23,22,5,64,35,15,0,12,3,172,21,27,58,98,78,41,7,35,0,358,4,0,3,9,11,11,0,10,0,49,7,5,3,23,12,9,0,9,0,69,0,6,0,3,0,3,0,0,0,16,3,9,5,12,6,9,3,14,3,64,94,355,78,279,188,97,17,85,13,1214,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,0,12,4,44,0,3,3,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,6,37,0,6,0,0,0,0,0,51,0,10,0,5,3,0,0,0,0,12,69,304,13,33,23,6,0,31,3,474,0,0,0,3,0,0,0,0,0,9
Burnside (C),40700,67,287,4,26,47,13,0,0,0,443,15,47,0,4,14,4,0,0,0,81,434,2069,55,268,464,153,3,40,30,3530,0,0,0,4,0,0,0,0,0,13,76,242,12,70,143,41,0,8,4,600,71,102,23,89,136,40,0,13,3,470,51,50,81,148,127,65,3,24,3,561,9,6,4,13,34,20,0,3,0,79,23,17,10,40,73,22,0,4,0,188,15,33,0,8,21,11,0,0,0,91,15,27,8,13,22,16,0,10,13,121,980,3756,229,738,1208,403,13,113,78,7510,11,45,0,0,5,3,0,0,0,69,84,706,12,13,21,4,0,5,3,841,476,1125,58,73,161,54,14,37,21,2011,14,76,0,4,5,0,0,0,0,107,139,458,10,30,74,20,0,3,4,734,33,63,4,13,18,5,0,0,0,138,1154,4107,192,395,650,316,41,119,80,7050,0,3,0,4,0,0,0,0,0,17
Campbelltown (C) (SA),40910,29,201,3,35,35,3,0,4,0,313,7,41,0,8,9,0,0,0,0,57,244,1636,82,299,398,147,3,65,40,2920,0,3,0,9,0,3,0,0,0,17,68,168,18,118,115,41,0,23,6,551,86,136,30,215,210,65,0,23,9,772,81,63,222,324,323,133,8,66,13,1244,9,8,3,34,41,29,3,6,3,128,15,14,4,56,98,27,0,3,0,223,3,35,5,19,22,9,0,6,0,102,13,27,10,24,38,28,0,19,16,181,649,2889,408,1217,1368,517,21,259,100,7433,11,31,0,0,5,0,0,0,0,41,30,275,7,3,6,0,0,0,0,324,196,743,56,120,127,64,33,54,16,1399,5,51,0,0,4,4,0,0,0,68,69,313,9,46,45,3,3,9,5,514,17,60,3,9,15,4,0,0,4,106,630,2955,266,447,584,260,90,193,72,5503,3,0,0,10,0,4,0,0,3,20
Cleve (DC),41190,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,35,3,0,6,4,0,0,0,61,0,0,0,0,0,0,0,0,0,0,5,4,3,5,0,0,0,0,0,20,7,5,0,15,13,0,0,0,0,34,16,0,4,21,14,3,4,8,5,66,4,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,0,11,49,57,12,44,35,9,3,12,3,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,41,5,0,6,5,0,4,0,82,0,0,0,0,0,0,0,0,0,0
