lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Dowerin (S),52940,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,78,58,135,8,4,9,14,0,14,0,0,0,0,0,0,4,0,6,19,12,32,127,80,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,27,61,8,19,28,6,6,9,179,127,307
Dumbleyung (S),53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,64,148,0,0,0,4,0,4,0,0,0,0,0,0,10,0,8,21,21,39,118,88,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,39,95,6,15,24,0,3,3,185,142,324
Dundas (S),53080,0,0,0,12,5,15,0,0,0,0,0,0,0,0,0,86,56,139,11,11,23,4,0,4,0,0,0,0,0,0,0,0,0,33,30,61,142,103,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,16,21,19,35,4,0,5,177,128,305
Joondalup (C),54170,1823,1717,3533,733,276,1010,11,11,23,7,0,3,64,35,103,26987,24089,51077,1454,1716,3167,610,9,619,322,18,338,401,70,475,693,137,831,491,518,1012,33588,28609,62200,987,625,1616,0,0,0,0,0,0,622,581,1201,88,118,206,112,21,133,1813,1352,3162,0,0,0,0,0,0,22,28,48,20,29,55,19,3,18,60,57,120,319,127,451,2191,1542,3725,224,225,449,4,4,10,6,7,13,239,235,474,1383,2199,3580,3382,4929,8314,396,283,682,41181,37793,78978
East Fremantle (T),53150,37,34,67,73,49,123,0,3,3,0,0,0,7,4,12,1186,1166,2347,44,77,125,8,0,8,25,3,24,61,22,86,27,15,44,44,57,104,1522,1429,2942,26,15,38,0,0,0,0,0,0,10,14,25,6,3,10,11,0,11,47,26,74,0,0,0,0,0,0,6,6,11,0,0,5,0,0,0,8,7,17,17,4,26,74,42,115,7,7,15,0,0,0,0,0,0,4,11,14,104,165,272,144,197,342,13,15,23,1857,1859,3720
East Pilbara (S),53220,0,3,4,1218,182,1399,3,0,8,0,0,0,10,3,9,1142,619,1756,381,122,504,68,0,66,23,9,27,54,15,73,460,109,570,264,261,523,3621,1317,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,24,4,3,9,16,3,14,39,6,48,42,4,48,84,17,97,3,0,3,14,9,17,3,0,3,20,9,27,18,30,49,282,152,435,246,63,311,4274,1581,5853
Esperance (S),53290,0,0,0,46,11,55,0,0,0,0,0,0,3,8,10,2276,1825,4103,158,148,311,48,0,50,56,19,73,44,15,58,37,21,64,153,137,296,2825,2189,5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,7,6,13,22,11,34,26,16,47,0,0,0,0,0,0,0,0,0,0,0,0,232,294,520,301,375,673,73,39,114,3464,2918,6377
Exmouth (S),53360,0,0,0,15,5,23,0,0,0,0,0,0,0,0,0,406,337,746,35,31,70,14,0,14,7,8,15,34,36,70,22,9,30,52,62,118,600,488,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,21,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0,23,42,60,104,98,201,19,11,30,755,654,1405
Fremantle (C),53430,260,313,568,255,244,494,7,0,8,0,4,7,14,12,23,4024,3851,7875,207,283,492,45,0,47,78,22,101,269,139,406,136,40,175,301,332,630,5602,5229,10832,176,151,326,0,0,0,0,0,3,51,81,128,7,12,18,34,26,66,276,274,548,3,3,5,3,0,3,7,10,18,11,10,18,10,3,14,26,28,55,62,32,96,365,332,699,29,39,65,5,4,6,3,3,5,33,44,81,355,459,815,562,860,1428,70,64,133,6987,6991,13973
Gingin (S),53570,0,3,7,45,9,56,0,0,0,0,0,0,0,0,0,624,527,1145,65,94,160,39,4,45,7,0,7,8,3,9,30,15,41,85,63,148,905,707,1612,0,0,0,0,0,0,0,0,0,3,9,10,0,3,3,0,0,0,3,10,9,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,7,4,11,14,14,25,0,0,0,0,0,0,0,0,0,0,0,0,113,108,216,134,123,256,23,19,44,1185,970,2154
Gnowangerup (S),53640,0,0,0,6,7,13,0,0,0,0,0,0,0,0,0,210,125,332,11,7,16,11,0,11,0,0,0,3,3,6,12,0,17,46,36,75,293,173,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,84,21,22,45,3,0,10,356,245,602
Kalamunda (S),54200,64,97,161,524,314,844,3,0,3,3,0,3,23,3,25,10229,8630,18856,607,629,1238,308,14,313,118,3,124,103,16,117,266,68,330,207,207,412,12450,9986,22432,44,37,77,0,0,0,0,0,0,127,118,242,9,14,25,0,0,0,177,175,356,0,0,0,0,0,0,30,39,70,14,30,42,7,4,12,51,76,125,112,57,172,343,306,649,21,32,52,9,0,7,12,0,11,38,36,76,423,691,1113,1214,1552,2760,124,93,217,14592,12664,27255
Clarence (C),61410,7,3,3,535,701,1228,3,0,3,0,0,0,21,17,39,8610,7810,16427,530,968,1499,147,3,148,147,15,165,133,34,175,102,44,147,225,228,453,10465,9824,20287,3,0,3,0,0,0,0,0,0,3,4,10,0,0,0,4,0,4,6,4,14,0,0,0,0,0,0,23,84,109,23,43,62,3,9,11,45,138,182,102,63,168,162,201,366,4,0,4,6,6,15,5,4,10,14,15,27,382,482,867,988,1856,2838,107,85,196,12118,12462,24581
Kalgoorlie/Boulder (C),54280,3,0,3,441,95,537,4,0,3,0,0,0,37,41,78,5762,4595,10358,639,502,1146,114,8,119,102,18,119,91,24,111,81,25,106,235,267,499,7503,5575,13082,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,47,13,59,9,0,10,8,0,8,64,14,77,72,31,110,141,52,195,0,0,0,3,0,3,3,4,4,3,0,4,80,181,265,586,592,1174,113,63,181,8429,6466,14898
Karratha (C),54310,8,4,14,674,101,773,3,0,3,0,0,0,22,10,28,3771,2790,6563,522,321,837,80,6,84,73,16,86,63,33,95,119,35,155,198,215,408,5525,3515,9042,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,10,3,0,3,0,0,0,14,6,21,3,6,8,14,0,14,38,9,50,49,29,73,92,45,131,3,0,0,10,0,12,0,0,4,15,6,18,43,160,204,616,500,1114,121,62,182,6419,4275,10701
Lake Grace (S),54900,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,215,124,342,8,7,17,26,0,26,3,0,3,4,4,9,10,0,13,47,31,72,312,175,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,79,79,158,21,36,54,0,5,8,421,292,708
Mukinbudin (S),55950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,70,42,114,8,6,7,7,0,7,4,0,4,7,6,9,11,3,12,19,16,38,122,74,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,50,10,16,21,0,9,11,166,114,276
Derwent Valley (M),61510,0,0,0,23,41,62,0,3,3,0,0,0,7,5,11,1455,1189,2639,122,117,239,54,0,59,7,3,15,0,0,0,11,5,14,40,54,96,1723,1410,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,6,11,0,0,0,6,15,19,14,10,25,14,27,44,0,0,0,0,0,0,0,0,3,0,0,3,59,67,131,179,305,482,43,25,71,2022,1846,3864
Goomalling (S),53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,115,247,3,3,7,10,0,10,0,0,0,0,0,6,14,6,23,30,17,44,191,148,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,52,18,20,43,3,7,10,247,199,446
Gosnells (C),53780,692,830,1526,685,458,1145,7,3,11,7,0,7,85,19,105,20685,15316,36006,1262,1482,2748,402,11,409,186,7,188,182,43,221,488,101,587,283,243,524,24966,18519,43481,574,567,1141,0,0,0,0,0,0,242,279,521,47,68,116,27,8,34,880,929,1814,0,0,0,0,0,0,35,51,78,25,52,74,18,6,18,73,104,176,251,109,362,1205,1143,2352,156,199,356,17,4,20,3,4,12,177,210,387,505,889,1393,2150,2620,4771,338,207,547,29338,23594,52930
Greater Geraldton (C),53800,3,3,6,213,49,261,3,0,3,0,0,0,23,13,39,5891,5684,11577,457,518,975,151,3,154,112,27,137,142,48,189,159,32,191,222,272,489,7370,6652,14020,0,0,3,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,5,0,6,4,0,3,7,3,7,12,3,17,58,29,86,75,40,116,0,0,0,7,4,8,3,3,4,7,7,12,218,382,599,834,921,1751,110,92,205,8614,8082,16701
Halls Creek (S),53920,0,0,0,16,6,18,0,0,0,0,0,0,4,8,9,119,97,223,21,34,53,3,0,3,0,0,3,6,3,5,8,4,12,129,139,272,307,285,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,18,34,21,27,46,15,17,27,361,342,705
Katanning (S),54340,0,0,0,25,10,30,0,0,0,0,0,0,0,3,7,668,491,1159,76,90,169,19,0,19,3,0,0,6,0,5,13,4,18,44,34,75,845,643,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,48,98,65,74,141,15,11,24,987,773,1759
Kellerberrin (S),54410,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,138,119,253,3,11,15,12,0,12,0,0,0,4,0,9,12,0,9,25,35,57,203,166,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,30,54,18,29,48,5,3,14,264,223,487
Mount Marshall (S),55880,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,65,49,113,8,3,9,3,0,3,0,0,4,0,0,0,8,3,10,24,19,44,111,72,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,31,29,67,12,9,17,0,0,0,161,117,273
Devonport (C),61610,3,0,4,25,19,47,3,0,3,0,0,4,10,18,27,3537,3279,6821,247,347,596,54,0,60,41,5,51,41,4,42,50,16,69,188,193,376,4209,3885,8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,28,15,44,34,17,50,0,0,0,0,4,4,3,0,3,3,4,9,142,155,296,436,665,1099,50,41,93,4875,4773,9650
Kent (S),54480,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,72,44,117,5,6,7,8,0,11,0,0,0,3,0,3,9,0,16,28,13,38,131,65,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,72,11,14,27,5,3,8,176,119,298
Kojonup (S),54550,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,292,218,510,11,12,30,18,0,18,6,0,8,0,0,3,20,7,22,38,34,77,384,280,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,104,85,194,36,41,84,7,9,19,539,426,964
Ngaanyatjarraku (S),56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,56,14,19,31,0,0,0,0,0,0,0,0,5,0,0,0,58,96,154,118,133,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,18,3,8,9,131,150,284
Kondinin (S),54620,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,133,104,232,12,7,17,12,0,12,0,0,0,6,7,15,22,3,23,31,27,62,217,153,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,3,0,3,3,0,3,43,36,79,10,22,30,6,0,7,280,206,488
Koorda (S),54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,47,104,3,0,3,6,0,6,0,0,0,0,0,0,0,0,3,6,5,13,77,57,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,18,40,5,9,13,3,0,4,104,82,192
Kulin (S),54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,68,184,3,4,6,8,0,8,0,0,0,0,5,3,7,4,13,43,16,54,175,94,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,46,94,12,21,30,4,0,9,247,167,413
Kwinana (C),54830,429,533,969,265,106,372,3,0,3,0,0,3,16,6,23,6054,4580,10628,385,419,805,116,3,119,71,3,76,34,3,36,171,41,214,98,115,208,7641,5810,13447,193,228,413,0,0,0,0,0,0,104,124,228,27,27,50,15,7,17,334,380,710,0,0,0,0,0,0,8,3,15,14,8,23,7,0,7,21,13,34,64,24,84,423,412,833,74,109,181,8,0,8,5,0,5,80,109,190,132,272,409,711,1001,1713,116,92,208,9102,7703,16802
Laverton (S),54970,0,0,0,127,16,144,0,0,0,0,0,0,0,0,0,122,42,166,64,17,86,11,0,12,0,0,0,8,0,7,46,6,50,37,36,70,415,121,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,5,16,25,3,26,462,134,598
Northampton (S),56790,0,0,0,30,6,41,0,0,0,0,0,0,0,0,0,323,315,637,44,30,67,12,0,12,3,0,3,8,11,25,26,6,28,63,64,123,508,435,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,108,88,195,104,87,190,19,10,29,739,631,1370
Dorset (M),61810,0,0,0,7,0,7,0,0,0,0,0,0,0,0,4,895,721,1613,53,50,103,54,0,54,24,5,31,3,3,3,28,9,34,88,73,161,1155,861,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,15,19,0,19,0,0,0,0,0,0,3,0,3,3,0,3,108,114,226,97,151,253,28,14,46,1412,1145,2561
Flinders (M) (Tas.),62010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,100,251,11,8,22,0,0,0,4,0,4,0,0,4,6,0,6,17,28,38,186,139,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,33,27,59,14,23,33,4,0,4,246,189,433
George Town (M),62210,0,0,0,14,6,21,0,0,0,0,0,0,0,3,3,889,690,1587,35,44,80,20,0,25,0,0,0,10,3,11,10,5,10,29,31,62,1016,786,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,9,10,14,9,10,15,0,0,0,0,0,0,0,3,3,0,4,6,38,32,76,103,147,246,21,17,40,1188,994,2185
Leonora (S),55040,0,0,0,112,19,134,0,0,0,0,0,0,0,0,0,154,88,246,43,17,57,6,0,6,0,0,0,3,0,5,33,8,42,39,51,92,398,179,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,40,19,54,20,6,28,463,204,669
Mandurah (C),55110,278,297,570,722,183,906,3,0,6,3,0,6,12,11,23,10002,9587,19589,883,747,1631,261,4,264,127,15,141,83,26,109,500,111,610,261,270,532,13138,11256,24392,117,120,235,0,0,0,0,0,0,143,127,270,14,22,35,13,9,20,286,275,561,0,0,0,0,0,0,10,7,21,9,17,22,15,3,18,38,31,62,214,56,273,538,362,903,88,103,190,13,4,18,10,7,11,116,106,221,384,807,1196,1940,2002,3940,230,159,388,16346,14689,31036
Manjimup (S),55180,0,0,0,35,8,40,0,0,0,0,0,0,0,0,0,1383,1236,2619,112,98,214,43,0,43,16,5,19,28,6,31,28,13,40,140,106,251,1782,1475,3257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,13,3,15,11,7,17,0,0,0,0,0,0,3,0,3,5,0,5,176,159,336,232,266,493,41,28,71,2251,1936,4184
Meekatharra (S),55250,0,0,0,42,3,39,0,0,0,0,0,0,0,0,0,101,63,160,19,11,33,10,0,11,3,0,0,0,0,0,40,6,44,38,47,78,249,131,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,9,19,18,11,32,22,3,29,311,154,463
Melville (C),55320,541,476,1011,1061,814,1874,3,0,5,3,8,6,43,20,64,15889,14103,29995,743,1122,1860,165,5,172,179,13,190,535,139,681,320,81,402,368,388,756,19849,17179,37029,597,438,1040,0,0,0,0,0,0,141,175,312,20,57,71,48,8,59,801,683,1480,0,0,0,0,0,0,28,47,79,24,38,65,13,9,23,68,102,170,171,86,255,1033,870,1905,118,109,233,18,6,19,3,0,3,139,116,260,1028,1404,2428,1829,2883,4709,184,158,342,24066,22599,46665
Glamorgan/Spring Bay (M),62410,0,0,0,3,4,6,3,0,3,0,0,0,0,0,0,505,428,927,33,27,65,23,0,23,0,0,0,8,3,10,17,7,18,71,69,146,661,542,1197,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,12,3,13,0,0,0,0,0,0,0,0,0,0,0,0,77,84,159,98,144,245,22,12,31,872,777,1648
Glenorchy (C),62610,0,0,3,407,591,994,0,0,4,0,4,4,72,34,106,6806,5770,12574,575,871,1446,124,0,128,134,10,146,127,32,159,55,35,92,296,206,502,8601,7555,16148,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,24,52,71,27,37,63,5,7,16,53,91,151,79,59,136,136,154,290,0,0,0,6,9,16,3,0,3,9,9,16,176,253,427,765,1379,2141,120,116,232,9806,9450,19256
Menzies (S),55390,0,0,0,46,4,52,0,0,0,0,0,0,0,0,0,20,13,39,14,3,17,11,0,9,0,0,0,0,0,0,23,6,26,31,24,50,147,51,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,7,4,10,161,59,220
Merredin (S),55460,0,0,3,26,0,26,0,0,0,0,0,0,0,0,0,517,423,946,29,33,69,26,0,26,7,0,7,10,3,13,16,0,16,56,50,107,699,515,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,48,41,90,67,101,172,8,8,17,830,664,1498
Hobart (C),62810,9,9,15,533,633,1159,0,0,0,3,3,6,71,58,130,6314,5345,11654,496,1044,1540,57,0,59,159,38,200,498,176,670,103,52,154,1876,2092,3973,10119,9445,19564,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,14,24,42,14,42,53,15,21,34,38,91,130,119,85,207,161,181,338,5,0,6,16,11,25,7,7,12,27,15,45,629,719,1347,1054,1732,2787,88,87,178,12076,12182,24259
Huon Valley (M),63010,0,0,0,20,44,66,0,0,0,0,0,0,3,4,3,2252,1891,4146,179,209,395,71,3,78,15,0,19,16,6,17,30,11,40,112,75,185,2708,2240,4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,14,3,6,14,0,0,0,12,17,28,36,13,52,47,33,84,0,0,0,0,0,0,3,0,3,0,0,3,235,244,475,296,489,784,51,37,90,3338,3046,6381
Kentish (M),63210,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,901,724,1622,39,46,86,35,0,33,11,0,12,3,0,3,17,3,16,63,58,118,1068,826,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,102,95,199,123,179,303,17,17,36,1324,1126,2445
King Island (M),63410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,206,475,28,19,43,12,0,12,6,3,8,3,0,4,9,4,12,21,31,54,354,259,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,47,98,21,50,75,7,0,9,444,359,797
Kingborough (M),63610,8,3,10,287,371,655,0,0,0,3,0,3,7,3,12,5617,4976,10595,359,635,996,90,4,95,81,11,89,99,19,119,71,25,94,189,156,344,6806,6210,13012,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,28,42,75,22,36,54,3,3,6,47,86,135,76,66,147,134,152,285,3,0,3,3,15,18,3,3,9,8,17,28,436,483,922,689,1274,1963,74,53,126,8140,8192,16335
Mingenew (S),55530,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,77,41,123,4,0,6,3,0,3,0,0,0,0,0,0,3,0,3,18,14,29,108,62,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,37,5,13,21,3,3,5,131,97,232
