lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Kangaroo Island (DC),42750,340,748,11,3,16,416,351,774,0,3,4,138,104,241,4,0,3,144,104,248,3,0,3,119,89,204,6,0,8,124,92,211,0,0,0,4,4,6,0,0,0,4,4,6,32,23,60,1781,1748,3527,176,166,341,1991,1935,3927,0,0,0,3,7,13,0,0,0,3,7,11,0,3,6,56,38,87,3,3,8,56,43,98,32,31,66,1834,1794,3624,180,170,350,2051,1986,4039,0,0,0,46,46,95,17,18,39,63,67,132
Karoonda East Murray (DC),43080,77,196,5,0,3,124,83,200,0,0,0,40,25,68,0,0,0,40,22,69,0,0,0,61,50,114,0,0,0,62,50,116,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,466,446,911,29,27,52,494,472,973,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,12,9,21,3,0,3,16,11,30,6,4,14,481,456,931,35,27,58,519,487,1001,0,0,0,8,10,22,0,0,0,10,10,19
Lower Eyre Peninsula (DC),43710,333,769,7,10,18,455,345,798,3,0,6,156,102,255,4,0,3,167,104,269,0,0,0,119,70,194,3,3,4,121,73,198,0,0,0,5,6,10,0,0,0,5,6,10,53,69,124,2227,2086,4321,158,142,298,2438,2296,4739,0,0,0,14,12,21,0,0,0,14,13,24,0,0,0,49,33,86,13,3,21,64,40,108,55,66,124,2293,2132,4422,172,144,318,2517,2347,4865,44,0,44,167,21,188,3,0,7,214,20,240
Loxton Waikerie (DC),43790,903,1949,11,10,22,1071,936,2009,3,7,17,408,310,720,4,7,14,420,330,747,8,3,12,462,396,860,3,8,14,475,405,880,0,0,0,17,20,34,0,0,0,19,16,38,115,132,238,4601,4545,9141,273,231,509,4985,4907,9894,0,0,0,5,3,8,3,0,5,5,3,13,7,12,15,268,336,601,21,23,45,293,373,666,121,139,259,4870,4885,9751,293,263,557,5283,5283,10567,0,0,0,61,89,147,16,33,45,78,116,194
Mallala (DC),43920,714,1565,12,9,21,882,733,1616,11,16,21,288,192,482,4,3,7,295,209,504,10,0,12,224,158,383,3,3,3,234,163,396,0,0,0,11,9,24,0,0,0,15,11,30,103,103,207,3874,3675,7545,274,255,528,4250,4026,8276,0,0,0,9,7,12,0,0,3,9,6,18,3,0,7,29,27,58,7,6,17,44,33,72,113,98,212,3908,3709,7613,285,261,542,4299,4065,8370,0,0,0,0,0,0,0,0,0,0,0,0
Mount Gambier (C),44620,1957,3980,16,19,43,2086,2018,4104,23,20,36,804,729,1537,3,7,12,834,755,1586,14,11,25,800,803,1603,10,11,24,822,830,1655,0,0,0,69,61,133,0,0,0,69,61,133,199,190,386,9084,9585,18662,390,405,797,9673,10178,19853,0,0,0,8,3,9,0,0,3,3,7,13,72,86,158,1771,1939,3708,133,148,281,1976,2171,4149,269,281,544,10857,11529,22387,529,554,1084,11651,12358,24009,3,0,3,151,220,370,18,10,24,166,229,403
Mount Remarkable (DC),44830,223,472,12,6,12,267,228,491,3,0,3,116,80,193,3,0,3,117,84,199,8,0,7,112,81,196,3,0,4,124,82,207,0,0,0,0,3,4,0,0,0,3,3,3,39,41,76,1155,1121,2281,76,78,153,1271,1236,2508,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,25,43,3,0,3,22,31,56,40,41,85,1178,1152,2325,76,79,156,1295,1265,2561,0,0,0,14,26,45,0,5,5,14,35,52
Murray Bridge (RC),45040,1656,3382,21,21,46,1819,1749,3566,36,40,71,682,609,1295,12,10,17,728,658,1386,23,24,43,718,709,1425,16,17,27,756,744,1494,3,0,3,55,48,102,0,0,0,64,52,112,364,382,746,7754,8002,15749,457,441,897,8569,8827,17390,0,0,0,5,3,13,0,0,0,5,7,14,50,54,103,706,758,1468,82,75,159,840,890,1728,415,438,847,8466,8760,17229,538,521,1060,9410,9724,19137,77,3,77,330,99,428,9,18,23,416,116,528
Coorow (S),52030,143,339,0,0,0,204,147,349,0,0,5,38,25,70,0,0,0,44,28,71,0,0,0,13,13,24,0,0,0,15,13,24,0,0,0,0,0,0,0,0,0,0,0,0,15,15,32,426,366,794,21,25,52,465,413,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,27,0,0,0,19,9,30,19,15,30,445,383,820,20,25,48,479,424,903,0,0,0,3,0,4,0,0,0,3,0,4
Albany (C),50080,3828,7867,37,36,75,4199,3971,8167,32,33,66,903,813,1720,4,6,15,944,851,1795,29,20,53,656,553,1205,10,11,17,693,582,1276,3,0,3,38,38,75,0,0,0,39,41,77,428,409,837,13864,14559,28426,735,736,1471,15026,15709,30733,0,0,0,21,9,37,5,3,7,28,15,44,25,14,37,699,1000,1691,82,108,186,796,1126,1923,450,425,876,14585,15574,30155,819,844,1671,15856,16846,32700,204,21,225,446,313,765,20,32,57,675,366,1046
Holdfast Bay (C),42600,2251,4053,9,18,31,1836,2282,4123,9,4,12,513,590,1109,6,6,10,525,600,1126,5,6,7,418,545,958,7,3,8,425,554,979,0,3,4,86,59,140,0,4,3,90,59,147,68,64,131,9434,9871,19306,287,299,591,9789,10237,20023,0,0,0,0,0,0,3,3,3,3,3,3,46,51,93,5027,6115,11145,390,473,861,5467,6635,12104,111,114,229,14465,15984,30446,680,776,1454,15256,16877,32127,4,6,12,427,539,968,22,31,58,458,575,1033
Kimba (DC),43220,52,119,0,0,0,72,52,125,0,0,0,30,16,45,0,0,0,30,20,42,0,0,0,51,32,88,0,0,0,51,31,86,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,446,433,879,23,24,45,481,464,944,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,9,8,13,0,0,0,9,8,13,7,7,14,458,437,894,23,24,45,493,468,959,0,0,0,7,7,15,0,0,0,7,7,15
Kingston (DC) (SA),43360,201,427,5,0,7,234,207,442,7,0,9,94,62,161,0,5,3,100,67,166,0,0,0,76,70,154,4,5,8,80,79,161,0,0,0,0,0,3,0,0,0,0,0,3,29,15,45,962,891,1855,68,66,133,1064,972,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,77,0,3,3,34,43,75,32,15,47,997,931,1927,68,69,138,1095,1015,2107,0,0,0,9,19,28,0,0,0,9,19,28
Light (RegC),43650,1023,2166,9,5,15,1159,1035,2199,7,3,8,362,298,665,5,3,9,379,305,685,3,0,3,279,217,491,0,3,5,281,221,505,0,0,0,9,8,15,0,0,0,9,8,22,83,61,143,6542,6469,13018,271,246,514,6896,6778,13674,0,0,0,8,8,11,0,0,0,8,8,11,0,0,3,74,74,143,8,7,14,84,81,162,83,64,147,6623,6551,13174,281,250,530,6982,6861,13851,0,0,0,31,112,150,19,10,28,53,123,177
Maralinga Tjarutja (AC),44000,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,38,3,5,10,0,0,0,25,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,38,3,5,10,0,0,0,25,27,49,3,0,5,0,4,4,0,0,0,3,7,5
Marion (C),44060,5400,10191,38,49,92,4900,5529,10431,29,37,62,1558,1744,3307,16,16,25,1603,1792,3399,21,18,45,1370,1886,3254,19,28,54,1414,1938,3346,11,0,7,207,278,482,0,3,3,216,283,503,327,314,642,29390,30616,60011,863,906,1769,30584,31836,62424,0,0,0,0,0,0,0,0,0,0,0,0,135,156,292,8846,10602,19452,518,621,1140,9499,11376,20880,468,466,938,38236,41224,79460,1381,1525,2909,40086,43218,83303,10,14,26,349,700,1044,36,20,54,398,732,1122
Mid Murray (DC),44210,724,1623,14,9,21,934,743,1681,9,14,23,322,232,556,7,0,7,335,245,578,7,4,11,327,252,586,6,3,11,339,263,599,3,0,3,7,10,16,0,0,0,11,10,16,87,73,158,3498,3243,6739,260,249,510,3840,3561,7407,0,0,0,17,0,17,0,0,0,17,0,17,0,0,0,104,100,202,6,13,22,109,115,222,84,73,158,3614,3347,6959,273,261,529,3973,3680,7649,19,0,19,221,39,261,9,7,16,242,53,297
Mitcham (C),44340,3061,5670,22,16,41,2659,3105,5758,9,4,15,886,1001,1883,9,10,19,902,1009,1920,10,10,19,670,897,1567,8,10,15,689,920,1609,0,0,0,74,114,185,4,0,4,78,119,191,122,137,260,24302,25410,49708,666,659,1320,25085,26200,51284,0,0,0,0,0,0,0,0,0,0,0,0,40,26,66,3817,4795,8614,193,207,404,4047,5034,9080,159,163,324,28118,30209,58320,855,869,1727,29131,31235,60365,3,8,10,386,731,1116,42,53,97,429,799,1230
Mount Barker (DC),44550,2059,4190,31,21,53,2186,2101,4289,4,3,8,694,620,1316,10,9,14,706,628,1338,0,4,4,433,441,875,9,15,18,447,458,902,0,4,4,20,19,36,0,3,3,23,21,44,159,174,331,13921,14659,28578,657,711,1372,14739,15544,30284,0,0,0,3,3,11,0,0,0,4,3,10,6,9,17,417,521,940,30,30,64,461,561,1019,162,182,343,14348,15185,29531,692,744,1438,15203,16112,31308,0,0,0,100,193,292,13,19,33,117,208,331
Port Lincoln (C),46300,1004,2136,14,6,25,1195,1073,2265,33,23,59,368,311,680,7,4,8,402,344,744,19,21,37,365,358,724,7,4,7,388,381,773,3,0,3,6,15,21,4,0,4,10,12,28,255,276,531,4673,4868,9542,319,316,634,5242,5461,10699,0,7,7,3,0,7,3,0,3,10,8,15,75,65,138,713,795,1514,89,95,185,874,955,1832,326,345,669,5395,5663,11059,411,406,820,6129,6415,12543,0,0,0,55,71,125,14,43,53,70,111,184
Port Pirie City and Dists (M),46450,1371,2810,21,11,29,1513,1438,2949,28,24,51,531,580,1108,7,14,20,561,611,1173,14,19,35,641,669,1310,13,13,25,669,702,1367,0,3,3,22,22,47,0,0,0,22,26,46,191,211,405,6403,6680,13087,331,358,688,6924,7250,14176,0,0,0,0,0,0,0,0,0,0,0,0,66,80,144,643,687,1329,75,86,162,784,851,1638,253,293,546,7047,7365,14416,405,447,851,7711,8101,15811,0,5,3,147,160,307,9,9,19,157,167,331
Naracoorte and Lucindale (DC),45090,527,1239,10,8,21,740,548,1284,6,6,11,252,183,437,0,0,0,258,190,450,3,5,6,214,177,387,6,3,9,219,183,407,0,0,0,126,29,153,3,0,3,128,29,155,60,64,119,3563,3311,6877,126,144,268,3753,3518,7271,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,138,120,252,8,9,15,149,121,272,57,64,119,3703,3431,7134,139,149,291,3905,3642,7540,0,3,6,44,76,127,12,9,17,59,88,143
Northern Areas (DC),45120,332,735,0,3,9,419,341,761,3,0,3,136,111,250,3,0,3,147,112,253,3,3,9,136,114,251,0,3,3,144,121,264,0,0,0,3,0,9,0,0,0,4,0,7,42,33,72,1901,1864,3767,124,109,232,2067,2008,4070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,96,3,4,3,54,47,97,44,33,70,1954,1910,3863,124,112,241,2116,2052,4171,0,0,0,26,41,60,3,0,6,30,37,68
Norwood Payneham St Peters (C),45290,1403,2628,8,11,22,1250,1423,2675,6,6,12,422,458,882,3,8,13,430,474,903,4,3,8,639,959,1597,4,15,19,649,978,1625,6,0,4,98,166,267,0,3,6,109,175,282,57,49,103,9360,9889,19247,278,349,626,9697,10283,19979,0,0,0,0,0,0,0,0,0,0,0,0,32,42,79,5559,6451,12012,328,351,681,5920,6851,12773,88,91,176,14918,16344,31260,608,700,1311,15616,17132,32753,10,11,19,341,358,702,38,27,63,385,400,785
Onkaparinga (C),45340,12614,24903,104,121,224,12580,12925,25503,60,59,119,3745,3634,7381,42,56,95,3846,3744,7595,36,47,87,2322,2526,4850,36,52,94,2398,2627,5030,9,4,10,154,145,299,3,10,12,159,155,314,1061,1150,2209,67593,69874,137470,2855,2977,5826,71510,73993,145508,0,0,0,12,13,28,4,0,8,18,10,28,90,127,220,4564,5704,10270,373,504,875,5033,6335,11364,1154,1281,2434,72178,75583,147765,3234,3479,6706,76563,80342,156905,8,3,7,430,798,1223,149,277,424,576,1080,1662
Tumby Bay (DC),47910,193,421,0,3,3,230,205,429,5,0,9,73,60,134,3,3,5,80,62,142,3,6,5,99,91,184,3,3,10,103,100,204,0,0,0,5,0,5,0,0,0,5,0,5,24,20,45,999,1030,2028,41,55,94,1061,1105,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,80,144,9,5,9,69,82,158,24,27,47,1066,1108,2172,51,59,106,1133,1195,2327,0,0,0,7,16,29,5,3,7,8,24,35
Whyalla (C),48540,1616,3217,21,15,31,1711,1711,3414,34,24,57,518,540,1055,3,9,15,561,569,1128,24,30,54,488,483,966,13,11,25,524,523,1041,3,0,3,33,33,66,0,3,0,40,31,69,178,198,376,5710,5654,11365,267,253,523,6154,6110,12261,0,0,0,0,3,3,0,0,0,0,3,3,250,280,528,3301,3316,6618,339,332,669,3882,3932,7817,423,484,910,9009,8972,17984,606,585,1189,10044,10042,20085,0,3,8,75,105,179,18,21,39,97,130,227
Armadale (C),50210,6956,14481,48,47,94,7774,7225,14995,63,49,117,1519,1312,2831,15,13,27,1598,1379,2977,33,26,54,787,773,1555,13,11,19,831,803,1632,3,3,12,160,194,358,9,0,9,172,199,371,781,883,1664,31329,31901,63227,1632,1645,3277,33741,34426,68170,0,0,0,0,0,0,0,0,0,0,0,0,104,122,222,3138,3588,6727,284,264,545,3524,3972,7495,885,1008,1890,34468,35484,69955,1912,1910,3828,37265,38407,75665,0,0,0,129,219,347,5,15,24,137,237,375
Ashburton (S),50250,475,2182,23,8,29,1898,553,2445,30,24,52,204,53,265,5,0,5,241,78,319,22,12,37,67,19,82,0,0,0,82,35,116,11,8,22,27,3,26,0,0,0,39,10,48,370,346,725,2026,1807,3828,154,141,297,2546,2297,4843,0,0,0,9,0,12,3,3,3,7,8,12,23,14,38,204,165,366,21,23,42,254,196,454,396,364,767,2238,1972,4208,176,168,344,2807,2504,5311,154,36,192,4372,583,4952,1510,203,1714,6037,827,6865
Orroroo/Carrieton (DC),45400,72,145,0,0,0,72,77,149,0,0,0,29,18,45,0,0,3,25,19,49,0,0,0,37,28,67,0,0,0,37,31,73,0,0,0,3,0,5,0,0,0,3,0,5,0,6,12,342,332,670,17,29,42,363,364,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,21,9,3,11,12,17,32,0,6,12,354,342,688,26,28,57,379,383,754,0,0,0,17,15,30,0,3,3,19,18,31
Peterborough (DC),45540,148,323,9,4,8,186,161,344,3,0,3,67,61,130,0,0,3,69,67,139,8,0,8,71,73,146,0,0,0,76,73,152,0,0,0,4,3,5,0,0,0,4,3,11,46,50,99,627,638,1261,52,40,90,725,731,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,25,47,0,0,0,21,31,52,49,55,105,644,668,1309,52,38,96,746,760,1503,0,0,0,3,16,19,3,12,11,11,21,29
Playford (C),45680,6734,13508,69,74,146,7067,7055,14124,87,99,184,2559,2360,4925,21,34,57,2674,2497,5167,67,55,123,1875,1922,3792,30,27,59,1970,2011,3976,11,3,19,416,588,1007,9,16,19,439,609,1047,1001,1093,2087,32587,33370,65966,1849,1873,3716,35437,36337,71771,0,0,0,4,3,11,0,0,0,4,3,11,374,386,761,5187,5386,10571,700,703,1401,6262,6475,12734,1375,1481,2850,37780,38762,76539,2546,2571,5119,41701,42812,84515,16,15,33,200,394,599,53,71,125,269,482,758
Port Adelaide Enfield (C),45890,6611,13205,59,49,104,6855,6873,13729,75,89,170,2411,2568,4986,28,44,72,2517,2706,5224,72,52,132,2911,3626,6533,27,61,91,3016,3744,6758,10,6,17,1002,1056,2065,15,17,32,1029,1081,2111,817,967,1781,39134,39986,79118,1473,1542,3012,41419,42499,83917,0,0,0,4,0,8,0,0,0,5,0,11,305,328,630,13031,13603,26638,824,946,1769,14162,14878,29037,1124,1295,2413,52169,53593,105761,2295,2487,4786,55585,57376,112964,145,72,220,1294,1039,2330,123,122,244,1561,1236,2798
Port Augusta (C),46090,823,1683,10,15,26,1058,1043,2100,83,67,147,321,288,611,0,4,9,405,364,770,75,78,157,271,289,564,6,4,18,355,373,729,15,14,23,17,15,35,0,0,0,36,31,63,720,831,1551,3804,3965,7770,309,311,619,4830,5106,9935,0,0,0,0,0,0,3,0,3,4,0,4,246,295,545,591,601,1191,129,128,254,968,1029,1994,969,1128,2090,4398,4565,8964,436,441,880,5802,6133,11930,201,30,229,379,82,462,14,9,26,592,130,718
Prospect (C),46510,777,1557,3,7,9,802,788,1589,9,5,13,254,258,507,3,3,5,258,263,527,3,7,10,320,433,750,9,8,15,327,444,773,3,0,3,108,82,192,3,0,3,110,85,196,60,52,115,6992,6912,13904,201,197,401,7259,7161,14414,0,0,0,0,0,0,0,0,0,0,0,0,19,18,37,2182,2260,4443,142,140,279,2345,2423,4768,82,71,156,9178,9173,18349,344,343,685,9600,9581,19181,0,0,0,98,133,225,5,17,16,101,143,249
Renmark Paringa (DC),46670,770,1568,10,11,20,833,804,1641,16,13,28,316,257,575,7,0,7,334,276,612,12,7,17,324,339,662,9,6,13,342,351,692,0,0,0,59,60,124,0,0,0,59,59,127,107,117,222,3567,3624,7188,267,248,520,3943,3992,7930,0,0,0,9,3,9,8,3,6,15,3,21,10,8,15,304,284,589,35,26,52,342,315,656,109,127,238,3881,3911,7785,304,275,584,4299,4313,8605,0,0,0,71,97,160,10,9,20,79,106,183
Robe (DC),46860,93,223,3,0,0,137,92,224,0,0,0,43,23,69,0,0,0,43,23,69,0,0,0,37,18,50,0,0,3,38,15,57,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,532,519,1044,27,25,52,568,546,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,48,4,4,8,35,23,52,6,7,12,558,537,1092,36,28,65,599,566,1162,0,0,0,8,3,13,3,3,9,9,8,17
Roxby Downs (M),46970,167,489,0,4,3,337,171,508,0,3,5,54,39,91,0,0,0,57,45,96,5,0,3,15,19,29,0,0,0,17,19,35,0,0,0,4,0,3,0,0,0,3,0,3,58,33,89,1402,1295,2702,89,97,186,1552,1421,2974,0,0,0,3,4,4,0,0,0,3,4,4,4,6,10,167,120,284,22,3,29,195,130,325,62,38,101,1574,1417,2992,112,99,211,1747,1555,3300,13,0,13,228,12,236,105,5,111,345,19,366
Salisbury (C),47140,9338,18876,73,86,155,9806,9662,19463,98,75,176,3239,3360,6597,32,38,72,3376,3469,6845,69,51,113,3168,3646,6820,34,43,81,3272,3738,7011,3,6,8,1143,1550,2696,8,15,22,1149,1574,2726,1099,1170,2268,53772,54236,108015,2147,2127,4269,57019,57536,114554,0,0,0,3,0,5,0,0,0,3,0,5,154,143,299,7187,7723,14907,537,562,1098,7876,8432,16307,1256,1318,2570,60963,61960,122923,2679,2686,5369,64899,65964,130870,10,3,17,615,800,1414,57,56,114,686,857,1547
Southern Mallee (DC),47290,143,338,0,0,0,205,145,349,3,0,3,79,51,135,3,0,3,91,51,140,0,3,4,56,70,123,0,0,4,60,74,134,0,0,0,4,0,5,0,0,0,4,0,5,21,17,37,828,771,1600,76,56,128,923,848,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,41,6,4,14,23,30,52,26,13,42,842,792,1640,80,61,142,949,870,1818,0,0,0,18,33,44,3,5,9,17,35,57
Streaky Bay (DC),47490,141,336,0,0,0,200,141,343,0,0,0,54,31,82,0,0,0,52,31,80,0,0,0,81,40,118,0,0,0,80,40,115,0,0,0,4,0,3,0,0,0,4,0,3,12,13,26,875,780,1656,52,48,102,946,835,1779,0,0,0,6,0,3,0,0,0,6,0,3,3,0,3,24,23,45,0,0,0,27,23,50,17,13,27,902,797,1698,52,49,98,970,856,1828,0,0,0,3,0,4,13,19,35,16,20,34
Tatiara (DC),47630,415,989,12,11,21,590,431,1023,3,4,10,204,123,333,3,0,4,214,131,347,0,0,0,204,154,355,5,8,12,209,161,369,0,0,0,47,8,57,0,0,0,47,8,57,40,28,65,2849,2607,5457,221,194,413,3112,2830,5939,0,0,0,3,3,7,0,0,3,9,5,8,3,0,0,53,42,94,5,0,5,55,44,99,41,25,72,2907,2654,5555,226,191,421,3180,2873,6046,0,0,0,12,17,23,37,41,75,40,53,96
Tea Tree Gully (C),47700,6897,13344,47,60,103,6573,7018,13593,21,27,53,1912,2028,3938,18,23,39,1950,2077,4031,16,18,37,1418,1810,3230,16,26,39,1457,1856,3309,6,0,6,112,139,250,3,3,4,114,142,259,413,422,836,40844,42053,82899,1095,1206,2295,42352,43679,86028,0,0,0,0,0,0,0,0,0,0,0,0,26,29,53,2568,3230,5794,134,169,301,2726,3433,6154,439,455,893,43413,45281,88697,1225,1371,2596,45077,47110,92183,0,0,0,389,711,1095,37,24,62,427,732,1159
The Coorong (DC),47800,402,906,3,3,10,551,429,979,13,21,32,200,150,348,0,0,4,213,173,383,11,13,27,198,160,367,0,3,3,216,177,390,0,0,0,6,6,11,0,0,0,6,6,11,138,152,289,2144,2018,4167,146,141,290,2429,2315,4748,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,65,68,133,11,9,16,84,85,170,143,164,310,2214,2087,4301,162,149,306,2519,2400,4921,0,0,0,35,27,58,3,0,3,39,27,65
Unley (C),47980,1532,2595,6,17,25,1073,1560,2632,3,6,8,383,482,865,7,6,12,394,486,878,3,7,11,403,674,1076,4,12,17,415,690,1103,0,0,0,71,97,162,0,0,0,71,95,167,40,37,79,11032,11822,22853,312,353,662,11383,12212,23600,0,0,0,0,0,0,0,0,0,0,0,0,36,37,68,4580,5614,10199,275,306,578,4895,5954,10847,75,76,151,15617,17438,33052,585,658,1245,16274,18167,34444,3,0,4,477,835,1311,61,81,135,536,913,1452
Victor Harbor (C),48050,1542,2817,12,15,26,1302,1576,2875,7,3,9,423,435,862,3,3,5,434,443,883,4,8,9,365,373,737,8,5,14,374,380,755,0,0,0,15,12,23,0,0,0,15,15,28,81,76,155,5390,5982,11375,245,270,520,5715,6339,12048,0,0,0,0,0,0,0,0,0,0,0,0,8,10,17,431,606,1035,37,41,85,481,654,1133,87,85,178,5823,6588,12409,282,312,601,6195,6988,13188,0,0,0,98,165,261,12,8,26,114,175,291
Wakefield (DC),48130,496,1096,3,3,6,619,508,1124,9,7,11,255,197,448,4,3,11,267,207,473,0,3,8,217,197,417,3,4,6,222,206,433,0,0,0,11,3,13,0,0,0,11,3,13,69,69,142,2853,2740,5589,184,165,347,3106,2971,6073,0,0,0,0,0,0,0,0,3,3,3,7,3,0,3,87,85,172,8,8,10,94,91,185,74,69,141,2937,2829,5762,188,168,358,3198,3065,6267,0,0,0,26,60,90,3,9,11,31,70,100
Coolgardie (S),51960,317,751,7,3,7,494,374,861,17,12,29,96,77,169,0,3,4,113,88,203,12,11,21,52,25,77,0,0,0,60,31,99,0,0,0,3,5,6,0,0,0,3,3,8,157,162,322,1232,1136,2367,138,132,269,1526,1432,2959,0,0,0,0,0,0,0,0,0,0,0,0,10,7,24,86,72,156,34,30,62,127,110,240,171,176,338,1315,1211,2526,171,164,334,1650,1541,3198,12,8,18,87,18,107,63,11,71,159,38,197
Walkerville (M),48260,308,559,3,9,8,257,319,572,3,3,7,91,115,207,0,3,8,99,122,213,0,6,4,92,104,200,0,0,0,94,110,209,0,0,0,19,13,26,0,0,0,19,13,26,7,22,28,2336,2412,4749,81,91,174,2423,2523,4947,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,896,915,1803,65,66,129,967,985,1950,12,33,47,3227,3321,6556,145,151,298,3394,3505,6895,0,3,4,61,168,228,13,19,31,70,188,263
