lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Renmark Paringa (DC),46670,37,42,9,18,14,5,3,14,0,145,54,41,9,57,27,12,5,27,0,231,130,46,312,133,88,64,72,116,14,966,8,4,3,6,9,6,4,17,0,67,9,3,3,25,25,14,15,15,0,109,0,0,4,0,5,3,0,10,0,20,28,12,11,11,4,14,13,29,12,132,342,419,360,276,194,126,115,269,37,2143
Robe (DC),46860,13,3,7,0,4,0,0,6,0,32,12,0,3,12,4,8,0,3,0,31,46,4,58,23,8,7,9,33,3,194,4,0,0,0,3,4,0,4,0,17,3,0,0,3,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,7,3,20,116,58,70,38,29,29,10,64,11,416
Roxby Downs (M),46970,8,14,8,8,3,0,5,3,0,45,11,17,9,16,24,7,10,3,8,103,38,20,397,30,55,21,156,47,24,780,3,0,4,5,3,4,18,4,3,44,6,0,11,3,4,3,11,5,0,40,0,0,4,0,4,0,0,0,0,14,0,4,5,5,0,4,11,8,3,35,101,273,481,80,109,39,209,77,39,1412
Salisbury (C),47140,227,430,192,414,264,90,83,93,29,1822,422,520,407,1077,596,240,144,199,63,3659,1014,564,4688,2215,1686,923,1136,1361,223,13812,66,44,83,164,200,178,96,200,17,1044,103,70,102,327,207,137,112,171,18,1236,30,64,72,69,66,32,42,73,20,468,83,77,141,150,110,102,132,203,111,1103,2867,6671,6211,5510,4091,2157,2037,2916,561,33017
Southern Mallee (DC),47290,17,9,3,7,5,3,0,0,0,35,16,5,5,10,0,0,3,5,0,44,64,7,53,11,12,21,19,29,4,209,8,0,3,3,0,0,3,0,0,17,9,0,0,3,0,4,0,0,0,14,0,0,0,0,0,0,0,3,0,7,4,0,3,4,0,4,0,9,0,28,151,73,63,45,29,32,36,61,9,487
Streaky Bay (DC),47490,6,4,0,4,3,0,0,3,0,28,6,7,5,8,11,5,0,5,0,39,48,3,79,23,21,17,18,35,0,249,3,0,0,3,3,0,0,3,0,13,8,3,0,0,6,4,0,3,0,23,0,0,0,0,0,0,0,0,0,5,11,3,0,4,0,6,3,5,3,39,110,104,87,50,49,37,17,60,9,528
Tatiara (DC),47630,48,33,7,19,20,9,6,8,3,154,52,17,6,32,32,15,6,14,0,175,193,24,239,55,72,49,58,105,10,805,12,3,5,3,15,10,4,9,0,56,26,0,9,7,10,16,3,21,3,91,3,4,0,0,3,0,0,10,0,25,26,9,10,3,6,11,8,27,13,112,424,295,287,143,177,117,95,236,27,1790
Tea Tree Gully (C),47700,308,596,222,412,373,108,37,66,25,2143,567,629,381,835,651,200,64,103,38,3473,1008,556,4306,1504,1544,786,621,838,144,11307,55,40,49,109,169,123,39,103,10,702,100,81,98,227,256,116,56,77,16,1026,26,65,47,42,62,22,17,49,14,344,57,75,100,114,110,57,51,77,72,706,3417,8207,5622,4122,4174,1797,1040,1610,386,30378
The Coorong (DC),47800,29,26,0,12,6,7,0,3,0,85,30,8,4,35,12,10,0,9,0,104,137,18,120,60,32,29,51,81,3,538,9,3,3,3,8,4,7,15,0,57,15,4,0,16,9,3,6,11,0,65,0,3,0,0,0,0,0,0,0,12,16,3,8,7,5,11,9,11,3,72,298,160,140,146,105,65,69,154,10,1150
Tumby Bay (DC),47910,16,12,3,12,3,0,0,0,0,44,15,6,0,7,8,3,0,4,0,44,60,9,81,17,21,9,30,27,3,256,3,3,0,0,0,0,3,0,0,18,12,5,3,5,9,4,6,3,0,43,3,0,0,0,0,0,0,0,0,6,7,3,7,4,3,0,0,5,3,24,136,123,99,59,50,26,36,46,5,584
Beverley (S),50560,11,6,0,7,3,0,0,0,0,27,4,7,3,3,4,0,3,0,0,33,17,7,57,15,17,6,20,8,0,147,0,0,0,0,3,0,0,4,0,3,3,0,3,4,3,3,0,0,0,20,3,0,0,0,0,0,0,0,0,8,4,3,0,9,3,0,7,3,0,26,83,56,76,39,39,13,29,29,0,363
Boddington (S),50630,3,5,4,0,7,0,6,0,0,29,8,0,11,10,10,0,5,0,0,48,21,11,106,17,18,6,51,14,11,242,0,0,0,0,0,0,5,0,0,6,3,0,4,0,5,3,6,0,0,23,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,3,5,8,0,24,66,89,128,37,43,9,86,17,10,492
Unley (C),47980,147,318,60,102,138,54,7,21,10,859,203,226,121,176,139,75,11,31,14,991,272,139,553,252,242,169,41,97,26,1801,17,11,10,21,22,16,3,13,0,120,49,26,20,47,65,55,8,15,0,284,25,58,13,13,19,13,0,7,3,160,29,45,21,33,22,25,3,15,21,215,2324,6738,1077,1139,1473,728,132,396,175,14182
Victor Harbor (C),48050,42,48,20,60,29,15,8,8,0,235,26,49,31,84,42,25,4,19,3,284,129,50,383,221,94,92,71,126,10,1179,11,6,11,12,16,19,4,23,0,108,12,5,12,33,18,11,10,9,0,110,3,0,4,4,4,0,0,3,0,25,22,9,15,18,6,15,6,17,11,122,362,671,494,519,278,193,103,233,35,2888
Wakefield (DC),48130,22,23,0,23,9,0,9,5,0,90,27,12,7,40,26,7,9,7,0,139,133,22,173,79,52,20,72,104,7,663,12,0,4,11,7,6,0,19,0,55,17,0,5,9,12,11,7,12,0,82,4,3,0,0,3,4,0,3,0,15,25,8,5,6,3,4,16,19,3,101,300,230,213,191,131,64,118,199,16,1465
Coolgardie (S),51960,3,6,8,11,3,0,0,3,0,28,4,7,8,16,9,6,13,4,0,71,14,17,215,25,38,10,88,24,0,424,0,3,0,0,0,4,3,3,0,18,0,0,7,3,3,0,4,3,3,33,0,0,0,0,0,0,3,3,0,7,0,0,9,9,3,3,19,11,0,47,40,112,252,68,69,22,142,54,9,767
Coorow (S),52030,8,7,0,4,3,0,0,0,0,18,14,0,0,4,3,0,0,0,0,23,17,7,35,4,11,0,9,15,0,97,0,0,0,0,3,0,0,0,0,4,9,0,0,0,4,0,3,3,0,21,3,0,0,0,0,0,0,0,0,5,8,0,3,0,0,0,0,0,0,13,68,26,38,10,25,3,20,31,0,220
Walkerville (M),48260,43,55,11,21,17,14,3,4,0,170,41,44,10,30,36,16,13,9,3,190,49,18,92,36,38,36,12,23,4,311,3,0,0,3,4,9,0,0,0,21,11,9,4,6,16,12,0,0,0,54,4,15,0,3,0,3,0,3,0,30,5,7,3,0,8,4,0,0,3,43,479,1239,160,166,265,143,38,62,26,2571
Wattle Range (DC),48340,51,58,0,26,11,7,8,15,3,181,42,29,9,58,25,7,8,10,0,190,201,40,414,173,119,70,107,173,10,1296,19,4,7,12,18,14,3,22,0,107,26,8,5,33,27,10,13,25,0,156,11,5,3,3,3,0,4,6,0,37,35,13,16,13,10,12,12,31,8,153,503,503,465,366,252,127,160,314,34,2718
West Torrens (C),48410,178,336,128,205,176,56,42,56,17,1190,278,320,238,377,321,118,71,112,20,1858,521,259,1702,648,580,350,252,380,63,4751,19,18,31,59,62,54,18,52,0,316,52,46,43,109,121,63,24,33,13,502,22,47,20,20,31,16,6,14,5,184,47,71,54,64,58,47,18,52,37,439,2242,6093,2612,2389,2338,1186,640,1174,237,18906
Wudinna (DC),48640,7,3,0,8,0,0,0,0,0,23,3,3,0,9,3,0,0,3,0,20,37,3,42,8,6,5,9,22,3,135,3,0,0,0,4,0,0,4,0,11,4,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,5,3,3,0,25,76,58,49,25,17,13,13,37,5,293
Yankalilla (DC),48750,16,21,10,13,17,3,0,8,3,97,19,11,8,43,19,14,0,4,0,126,76,18,170,62,38,24,26,71,12,505,6,0,6,3,8,9,3,7,0,51,9,3,3,9,3,10,3,8,0,41,0,0,4,0,0,0,3,0,0,8,12,0,8,16,4,4,8,14,5,72,195,222,227,164,114,81,43,119,24,1195
Yorke Peninsula (DC),48830,46,45,4,26,29,11,3,3,3,173,48,21,25,55,23,7,3,17,0,191,225,22,328,136,96,54,68,137,6,1075,17,4,3,10,12,9,4,10,0,62,22,3,9,16,12,17,0,22,0,103,3,5,4,3,3,0,0,7,0,25,40,12,20,19,7,9,11,22,12,140,497,384,400,294,202,110,97,223,31,2243
Unincorporated SA,49399,20,9,0,12,0,3,0,3,0,57,25,15,12,10,5,0,0,5,0,79,65,17,181,36,31,6,74,60,6,469,9,0,9,3,3,4,6,5,0,37,9,0,4,0,3,0,3,8,0,36,0,0,3,0,6,0,0,0,0,12,13,3,4,9,4,0,3,7,3,46,187,126,237,79,65,19,103,103,11,920
No usual address (SA),49499,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Albany (C),50080,142,242,48,148,119,23,26,45,3,798,145,149,97,243,149,71,19,60,14,960,430,172,1554,671,369,278,311,388,62,4231,29,18,27,51,69,61,29,71,7,362,52,23,26,95,68,37,27,54,3,390,18,21,13,20,13,6,4,18,3,123,49,31,40,56,51,39,42,62,28,400,1244,2365,1918,1489,1047,588,489,801,147,10088
Broomehill-Tambellup (S),51080,11,3,0,3,0,0,0,0,0,15,7,0,0,3,8,0,0,0,0,21,25,0,29,15,11,0,4,11,3,97,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,5,5,4,0,4,0,0,5,0,0,18,77,37,37,34,35,4,10,12,4,250
Bruce Rock (S),51120,10,0,0,4,0,0,0,0,0,16,9,0,0,3,3,0,0,0,0,20,17,0,25,17,10,0,6,9,0,90,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,4,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,65,35,32,29,20,9,12,21,0,214
Bunbury (C),51190,77,149,64,89,82,15,26,35,4,550,111,120,138,176,100,57,22,64,5,796,265,173,1505,442,342,225,311,368,52,3685,17,7,23,30,51,74,12,46,0,261,40,21,28,68,73,40,35,43,0,357,14,21,14,17,16,8,12,15,3,118,17,22,27,48,31,30,30,78,27,308,851,2164,1922,1037,863,511,496,796,112,8758
Capel (S),51400,53,104,44,42,59,22,17,9,3,358,66,70,65,126,73,33,23,27,9,487,169,94,929,256,213,101,199,209,40,2203,17,5,11,21,32,36,8,30,3,172,15,13,25,32,43,26,25,20,3,197,7,15,6,8,4,0,7,15,0,65,28,20,12,29,23,20,25,25,12,178,549,1374,1150,609,566,270,318,377,75,5294
Carnamah (S),51470,0,0,5,0,0,0,0,0,0,3,4,3,0,3,4,0,0,0,0,17,11,0,19,0,5,0,7,14,0,56,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,3,5,0,0,0,0,3,0,16,34,26,24,5,18,3,8,19,0,139
Carnarvon (S),51540,13,22,8,16,11,0,3,4,0,74,25,15,6,24,24,9,0,13,0,121,87,23,185,50,51,28,36,67,8,539,6,3,5,9,15,3,3,15,0,63,9,11,8,15,7,5,3,7,0,59,4,4,3,3,3,0,0,3,0,22,5,10,9,9,12,4,3,23,7,84,207,272,238,156,152,60,58,149,32,1321
Chapman Valley (S),51610,6,7,0,3,0,3,0,0,0,21,6,7,0,9,8,0,0,0,0,34,23,9,68,8,17,5,16,16,3,169,3,0,0,0,3,0,0,6,0,17,0,0,0,0,3,5,0,0,0,13,0,0,3,3,0,0,0,0,0,5,4,0,3,3,3,0,0,3,0,13,72,88,83,27,47,14,20,30,3,384
Claremont (T),51750,42,77,16,36,30,19,0,4,7,229,26,43,14,18,21,25,0,9,3,159,45,20,95,35,15,29,9,18,4,268,0,3,0,3,8,11,0,0,0,25,4,7,0,12,8,3,3,3,0,46,9,8,0,3,5,0,0,0,0,29,9,15,0,3,5,7,0,5,6,62,701,1784,192,218,322,202,25,62,46,3553
Cockburn (C),51820,365,587,328,318,377,122,78,108,37,2334,487,539,497,659,608,269,148,186,42,3429,1009,591,5212,1296,1204,573,853,881,196,11815,46,31,77,111,154,137,38,90,8,695,103,93,139,235,277,91,74,105,9,1137,60,112,77,59,74,36,23,56,7,506,82,119,129,120,131,83,75,123,111,969,4032,9732,7206,3675,4216,1830,1524,1858,541,34614
Chittering (S),51680,30,36,8,15,15,4,6,7,4,123,32,9,20,34,31,5,3,12,0,145,84,32,309,66,56,29,80,88,16,756,3,0,6,3,5,9,3,6,0,33,10,7,8,4,16,3,3,6,0,64,5,4,0,0,3,0,0,3,3,21,10,8,9,13,16,3,9,12,4,78,238,226,371,148,174,56,114,132,32,1498
Collie (S),51890,13,26,14,17,13,5,8,3,0,93,9,17,31,36,21,0,12,10,0,134,45,23,566,135,87,35,160,80,21,1148,6,0,8,21,21,8,13,21,0,90,7,3,4,17,8,9,16,9,0,81,0,0,0,0,0,0,0,3,0,9,9,6,9,14,9,8,24,21,8,109,130,261,640,253,172,67,235,146,31,1930
Corrigin (S),52100,6,5,0,0,0,4,3,0,0,13,0,3,0,3,6,0,0,0,0,16,25,3,36,6,11,3,13,19,0,118,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,16,64,52,39,19,25,13,24,25,7,252
Cottesloe (T),52170,36,59,13,8,35,14,0,0,3,172,34,31,13,13,18,18,0,4,6,144,54,21,78,27,13,6,4,17,3,223,3,3,0,0,0,4,0,0,0,17,6,8,0,4,8,4,0,3,3,51,6,23,4,0,3,3,3,0,0,37,18,14,0,3,4,0,0,3,3,53,641,1618,159,144,244,132,22,51,64,3068
Cranbrook (S),52240,17,0,0,6,3,0,0,3,0,26,9,0,0,0,3,3,0,0,0,14,32,0,21,12,8,3,7,18,0,99,4,0,0,0,0,3,0,8,0,15,4,0,4,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,4,0,7,0,5,0,3,7,0,25,101,22,33,23,24,9,7,41,3,261
Cuballing (S),52310,3,0,0,3,0,0,0,3,0,15,8,3,0,4,3,0,0,0,0,14,18,3,27,3,7,3,11,5,0,76,0,0,0,0,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,10,51,39,32,21,17,3,14,12,0,187
Cue (S),52380,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,8,4,3,6,0,3,7,0,37
Cunderdin (S),52450,11,3,3,0,0,0,0,0,0,14,3,3,4,3,3,0,0,0,0,19,31,9,49,19,12,4,13,19,5,160,3,0,0,0,0,3,0,3,0,9,3,3,0,3,0,0,3,0,0,21,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,15,77,60,63,36,23,12,15,29,6,316
Dalwallinu (S),52520,4,0,3,0,7,0,0,0,0,15,17,0,3,9,9,0,0,3,0,33,34,4,50,10,3,11,18,14,0,142,0,0,0,0,0,0,0,0,0,9,8,0,6,6,3,3,0,0,0,24,3,0,3,0,0,0,0,0,0,3,5,3,5,5,0,0,3,4,0,26,98,49,74,28,36,19,26,28,0,354
Dandaragan (S),52590,25,5,8,12,5,3,3,5,3,67,16,3,7,15,6,5,3,0,0,55,65,20,118,21,33,3,38,66,4,369,5,3,0,0,4,0,3,6,0,26,13,0,8,11,3,3,5,7,0,45,3,0,0,0,0,0,0,0,0,9,9,3,3,4,9,0,5,20,0,53,197,120,144,66,83,23,61,118,16,830
Dardanup (S),52660,42,60,35,29,32,6,8,9,0,224,53,45,48,83,53,22,21,7,4,346,125,67,863,225,186,122,224,153,29,1993,10,6,8,15,29,30,8,27,0,138,18,6,12,30,36,23,11,16,3,158,4,5,8,3,6,3,3,8,0,35,15,8,15,14,13,9,21,21,8,123,379,701,1027,462,410,238,313,272,54,3848
Denmark (S),52730,33,35,10,14,22,15,3,17,0,141,19,14,11,19,14,7,3,14,0,113,74,25,222,71,41,19,29,51,7,539,7,0,3,3,6,9,0,8,0,41,20,3,4,9,6,13,6,13,0,81,7,9,0,3,8,3,0,3,0,33,6,3,4,3,8,10,6,14,4,57,260,444,278,171,163,92,47,142,14,1612
Derby-West Kimberley (S),52800,7,16,5,14,14,3,3,3,0,72,22,22,3,42,20,3,3,4,0,113,43,41,151,100,52,22,17,81,12,513,4,9,4,23,12,3,3,15,0,81,8,6,9,11,7,0,4,12,0,50,5,5,0,4,3,0,0,0,0,19,8,10,12,33,16,4,4,21,14,122,158,432,193,278,156,48,40,156,42,1495
Donnybrook-Balingup (S),52870,31,34,18,22,23,7,9,9,0,140,26,18,15,29,19,4,6,16,0,127,92,27,239,51,53,27,68,64,8,631,5,8,3,4,8,8,4,9,0,43,9,0,3,16,6,4,6,8,0,67,3,3,0,3,0,3,0,3,0,21,15,6,5,10,4,8,9,9,6,84,248,308,297,157,145,75,111,145,26,1516
East Fremantle (T),53150,50,85,13,23,34,20,3,4,3,234,44,50,27,29,26,16,0,6,0,194,59,23,178,45,43,26,23,30,3,432,3,3,5,4,7,3,0,6,0,24,9,5,7,12,9,14,0,3,0,68,7,7,4,4,10,3,0,0,0,39,7,13,7,7,4,7,0,9,4,53,559,1294,289,216,274,138,42,60,37,2909
East Pilbara (S),53220,26,21,35,9,7,0,37,11,0,154,43,32,57,29,28,6,74,8,5,286,105,77,1212,61,60,14,475,132,39,2172,7,4,5,6,12,0,25,33,0,92,6,5,22,10,9,0,42,12,0,101,3,5,4,0,0,0,20,3,0,43,7,9,12,9,5,0,37,15,8,112,291,548,1458,148,165,40,767,244,61,3714
Esperance (S),53290,60,60,19,23,39,20,9,11,0,242,48,50,33,51,66,19,12,18,3,310,242,92,598,157,132,87,170,154,24,1656,22,4,8,18,28,25,12,26,3,149,32,3,20,15,25,17,18,21,0,156,8,8,7,7,5,4,3,3,3,45,34,12,20,21,22,13,23,34,16,199,615,752,725,351,395,191,252,295,53,3632
Exmouth (S),53360,13,9,9,7,3,3,0,11,6,65,13,12,16,12,17,10,0,6,0,81,50,35,162,39,37,12,25,42,3,409,3,3,4,10,8,3,0,9,0,41,5,7,3,3,12,3,0,10,0,45,0,0,0,4,0,0,3,3,0,11,0,3,13,5,6,3,0,7,4,41,131,191,225,110,105,42,29,87,22,955
Fremantle (C),53430,119,243,80,108,85,42,14,20,7,715,131,161,106,135,105,51,21,39,13,758,242,131,777,210,160,109,115,159,33,1947,13,9,11,20,19,15,3,15,3,104,35,24,21,49,43,27,16,15,5,239,14,37,11,13,15,12,3,10,0,105,22,47,41,48,24,19,13,21,30,263,1561,4653,1267,927,947,469,249,391,167,10632
Dowerin (S),52940,3,0,0,3,0,0,0,0,0,7,9,0,0,4,0,0,0,0,0,15,14,3,8,3,7,5,3,5,0,56,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,7,0,14,46,22,14,15,17,4,3,15,0,141
Dumbleyung (S),53010,6,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,12,16,3,10,5,3,0,3,8,0,52,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,26,10,15,17,3,3,15,0,148
Dundas (S),53080,0,3,0,0,3,0,0,0,0,8,4,0,6,0,0,0,0,3,0,18,14,3,20,3,3,0,8,4,0,58,0,0,0,0,0,0,0,4,0,4,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,6,17,27,25,34,13,11,3,11,15,7,151
Gingin (S),53570,18,13,4,4,16,0,11,9,3,75,17,8,13,21,20,3,3,13,0,100,80,22,205,29,28,22,64,81,14,548,9,0,0,5,7,3,3,11,0,40,8,3,6,13,12,6,3,5,0,66,6,0,0,5,0,0,0,23,0,30,10,0,9,11,10,11,6,14,5,72,204,134,254,95,121,53,95,195,21,1165
Gnowangerup (S),53640,15,3,0,3,3,0,0,0,0,22,15,0,0,3,3,0,0,3,0,25,34,3,39,6,10,4,10,22,0,127,0,0,0,0,4,0,0,3,0,9,4,0,3,0,3,0,3,3,0,20,4,0,0,0,0,0,0,0,0,11,6,0,3,0,0,0,0,3,3,24,111,42,54,22,27,4,15,37,3,312
Kalgoorlie/Boulder (C),54280,67,123,61,59,60,13,30,8,4,435,118,137,94,166,108,38,63,30,12,764,300,156,2080,321,292,148,635,229,67,4228,15,5,30,23,40,44,34,31,7,231,32,12,30,56,58,23,54,34,6,307,5,16,9,11,10,9,20,13,0,94,14,24,47,35,15,27,86,49,40,350,860,1930,2479,840,722,356,1015,454,147,8799
Karratha (C),54310,54,84,79,50,64,12,28,12,4,398,86,83,120,111,100,27,54,46,14,639,233,125,1774,203,305,77,444,222,81,3470,20,12,19,35,29,19,26,33,3,205,26,21,35,30,59,23,38,36,3,274,3,5,13,3,4,4,11,9,0,58,27,28,50,29,31,32,47,44,23,316,755,1372,2273,579,755,249,705,476,155,7322
Irwin (S),54060,18,14,7,14,10,3,3,4,0,65,7,13,8,12,13,0,0,4,0,70,39,23,176,30,28,15,42,44,6,411,3,3,3,0,13,3,3,8,0,35,3,3,0,9,9,5,3,9,0,45,0,0,0,0,0,0,0,0,0,0,12,3,3,5,10,4,6,12,9,64,118,144,204,83,97,33,63,91,19,846
Jerramungup (S),54130,6,4,0,0,0,0,0,0,0,15,6,0,3,0,3,0,3,0,0,21,44,3,35,10,13,3,11,14,4,137,7,0,0,0,3,0,0,0,0,10,4,0,3,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,3,0,0,12,113,39,53,16,26,9,22,29,4,301
Joondalup (C),54170,738,1395,524,619,728,287,92,149,62,4588,798,928,697,875,987,405,116,181,51,5036,1712,919,7325,1886,1684,890,901,1146,273,16726,53,40,97,145,223,169,22,109,15,875,175,160,152,327,485,208,67,120,20,1719,111,177,73,77,123,51,28,48,14,704,123,216,160,180,219,153,51,114,94,1309,7553,17146,9905,5535,6632,3068,1475,2239,758,54314
Kalamunda (S),54200,188,331,153,188,227,59,53,55,13,1272,252,265,235,312,313,105,77,66,25,1651,624,297,2832,753,681,305,596,435,115,6647,25,14,37,53,95,56,25,54,0,359,55,41,62,126,146,64,61,43,10,612,17,36,29,35,40,12,17,11,4,207,47,35,56,63,96,55,63,50,36,506,2074,4194,3725,1888,2216,868,995,859,261,17079
Central Coast (M) (Tas.),60810,44,91,31,54,46,9,3,17,5,291,77,100,57,127,95,25,9,21,3,510,309,97,964,358,255,118,180,237,30,2543,7,4,19,30,28,39,10,33,6,180,18,18,10,65,47,36,10,28,0,225,0,12,3,8,5,3,3,6,0,39,22,17,24,31,27,24,33,34,12,226,674,1317,1139,756,589,278,254,387,62,5452
Central Highlands (M) (Tas.),61010,15,3,0,0,4,0,0,3,3,29,8,3,0,8,0,0,0,3,0,23,31,6,54,22,7,7,14,30,0,177,3,0,9,3,3,0,0,3,0,21,0,0,3,6,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,4,3,6,0,30,111,51,70,49,24,16,24,62,3,418
Circular Head (M),61210,39,21,9,13,12,0,3,10,0,98,49,21,11,39,25,9,5,18,7,177,188,26,268,98,71,40,75,167,20,959,15,0,3,16,11,3,0,30,3,82,15,6,4,15,9,10,3,19,0,88,6,3,0,0,0,0,0,5,0,17,33,3,11,8,7,18,17,40,12,137,400,261,314,216,150,78,101,290,41,1846
Clarence (C),61410,179,295,92,167,164,36,8,19,16,983,255,265,168,322,324,109,27,39,29,1534,651,255,2107,890,802,354,247,379,92,5781,27,20,27,57,81,69,18,51,0,352,50,49,35,125,152,66,19,46,7,559,11,53,17,22,30,11,9,13,0,160,33,64,59,80,55,40,31,50,27,432,2133,4874,2706,2073,2222,849,383,670,239,16155
Derwent Valley (M),61510,21,31,9,26,18,6,3,5,0,120,28,37,24,53,37,7,3,8,0,196,95,35,403,202,104,53,90,83,25,1090,5,3,9,16,20,12,5,15,0,86,9,3,7,48,12,6,8,8,0,99,4,3,0,0,0,0,3,8,0,16,4,4,12,23,12,6,11,24,13,110,209,337,478,400,220,107,132,147,44,2073
Devonport (C),61610,49,97,43,67,37,12,4,13,6,322,80,75,63,173,126,39,8,27,5,603,284,113,961,423,302,191,185,249,35,2757,11,4,11,40,27,43,15,46,0,207,31,15,19,71,48,19,14,28,9,249,3,12,7,7,12,3,0,13,7,63,18,16,26,24,22,36,32,38,11,224,619,1241,1162,894,675,369,272,458,89,5773
Dorset (M),61810,22,22,7,15,9,3,0,4,0,83,19,10,14,21,18,9,4,8,0,104,140,14,218,60,48,46,62,83,7,682,12,0,3,10,0,12,3,19,0,54,8,4,4,12,5,4,3,9,0,46,0,0,0,0,0,0,0,3,0,10,13,6,3,9,10,10,8,11,9,85,270,207,244,140,104,86,84,148,24,1311
Flinders (M) (Tas.),62010,9,3,0,6,5,0,0,0,0,23,7,5,0,6,3,0,0,0,0,29,28,5,35,11,7,3,4,15,3,109,0,0,0,3,0,3,0,0,0,10,4,0,4,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,5,7,3,3,0,3,0,0,7,4,23,83,52,45,25,15,11,3,30,8,270
