yr,land_area_ha,protected_areas_indig_protected_area_num,protected_areas_national_parks_num,protected_areas_nature_reserves_num,protected_areas_all_oth_protected_areas_num,protected_areas_tot_num,protected_areas_indig_protected_area_ha,protected_areas_national_parks_ha,protected_areas_nature_reserves_ha,protected_areas_all_oth_protected_areas_ha,protected_areas_tot_ha,protected_areas_indig_protected_area_pr100,protected_areas_national_parks_pr100,protected_areas_nature_reserves_pr100,protected_areas_all_oth_protected_areas_pr100,protected_areas_tot_pr100,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,lga_code18,lga_name18,ogc_fid
2017,,,,,,,,,,,,,,,,,1210.0,15.7,371.0,9.1,32810,Douglas (S),1780
2016,,1.0,8.0,,17.0,26.0,3374.0,149862.0,,288.0,153524.0,1.4,61.7,,0.1,63.2,1046.0,9.8,340.0,11.1,32810,Douglas (S),1781
2018,1184.2,,,,,,,,,,,,,,,,,,,,37570,Wujal Wujal (S),1789
2016,,,,,13.0,13.0,,,,159.0,159.0,,,,0.3,0.3,4607.0,7.5,1400.0,3.5,44550,Mount Barker (DC),1959
2015,,,,,,,,,,,,,,,,,4287.0,6.0,1353.0,3.7,44550,Mount Barker (DC),1960
2014,,,,,,,,,,,,,,,,,4044.0,,1305.0,,44550,Mount Barker (DC),1961
2018,275556.4,,,,,,,,,,,,,,,,,,,,41960,Franklin Harbour (DC),1962
2017,,,,,,,,,,,,,,,,,273.0,4.2,62.0,,41960,Franklin Harbour (DC),1963
2016,,,,,37.0,37.0,,,,61590.0,61590.0,,,,22.4,22.4,262.0,5.2,62.0,,41960,Franklin Harbour (DC),1964
2015,,,,,,,,,,,,,,,,,249.0,7.8,62.0,3.3,41960,Franklin Harbour (DC),1965
2014,,,,,,,,,,,,,,,,,231.0,,60.0,,41960,Franklin Harbour (DC),1966
2018,186244.6,,,,,,,,,,,,,,,,,,,,52450,Cunderdin (S),1967
2017,,,,,,,,,,,,,,,,,122.0,19.6,114.0,3.6,52450,Cunderdin (S),1968
2016,,,,2.0,3.0,5.0,,,44.0,360.0,404.0,,,,0.2,0.2,102.0,22.9,110.0,10.0,52450,Cunderdin (S),1969
2015,,,,,,,,,,,,,,,,,83.0,13.7,100.0,6.4,52450,Cunderdin (S),1970
2014,,,,,,,,,,,,,,,,,73.0,,94.0,,52450,Cunderdin (S),1971
2018,489765.1,,,,,,,,,,,,,,,,,,,,61210,Circular Head (M),1972
2017,,,,,,,,,,,,,,,,,346.0,6.8,40.0,5.3,61210,Circular Head (M),1973
2016,,1.0,5.0,4.0,78.0,88.0,529.0,10743.0,137.0,172766.0,184175.0,0.1,2.2,,35.3,37.6,324.0,15.3,38.0,8.6,61210,Circular Head (M),1974
2015,,,,,,,,,,,,,,,,,281.0,28.9,35.0,2.9,61210,Circular Head (M),1975
2014,,,,,,,,,,,,,,,,,218.0,,34.0,,61210,Circular Head (M),1976
2017,,,,,,,,,,,,,,,,,17.0,21.4,10.0,11.1,37570,Wujal Wujal (S),1790
2015,,,,,,,,,,,,,,,,,102.0,13.3,127.0,8.5,51610,Chapman Valley (S),1995
2014,,,,,,,,,,,,,,,,,90.0,,117.0,,51610,Chapman Valley (S),1996
2016,,,,,,,,,,,,,,,,,14.0,16.7,9.0,,37570,Wujal Wujal (S),1791
2015,,,,,,,,,,,,,,,,,3486.0,12.4,614.0,6.4,10050,Albury (C),2005
2014,,,,,,,,,,,,,,,,,3101.0,,577.0,,10050,Albury (C),2006
2018,12954.7,,,,,,,,,,,,,,,,,,,,22670,Greater Dandenong (C),2007
2017,,,,,,,,,,,,,,,,,6703.0,8.0,3649.0,12.4,22670,Greater Dandenong (C),2008
2016,,,,,,,,,,,,,,,,,6204.0,7.4,3245.0,13.2,22670,Greater Dandenong (C),2009
2015,,,,,,,,,,,,,,,,,5777.0,12.4,2867.0,18.5,22670,Greater Dandenong (C),2010
2014,,,,,,,,,,,,,,,,,5138.0,,2420.0,,22670,Greater Dandenong (C),2011
2015,,,,,,,,,,,,,,,,,12.0,9.1,9.0,,37570,Wujal Wujal (S),1792
2014,,,,,,,,,,,,,,,,,11.0,,9.0,,37570,Wujal Wujal (S),1793
2018,1790652.4,,,,,,,,,,,,,,,,,,,,15300,Moree Plains (A),1794
2017,,,,,,,,,,,,,,,,,1866.0,13.0,241.0,0.8,15300,Moree Plains (A),1795
2016,,,2.0,8.0,,10.0,,10238.0,6838.0,,17076.0,,0.6,0.4,,1.0,1651.0,11.9,239.0,1.3,15300,Moree Plains (A),1796
2015,,,,,,,,,,,,,,,,,1476.0,15.5,236.0,3.5,15300,Moree Plains (A),1797
2014,,,,,,,,,,,,,,,,,1278.0,,228.0,,15300,Moree Plains (A),1798
2018,761329.6,,,,,,,,,,,,,,,,,,,,34770,Mackay (R),1799
2017,,,,,,,,,,,,,,,,,11166.0,11.7,3139.0,2.6,34770,Mackay (R),1800
2016,,,17.0,,28.0,45.0,,85116.0,,19247.0,104363.0,,11.2,,2.5,13.7,9996.0,9.3,3058.0,2.8,34770,Mackay (R),1801
2015,,,,,,,,,,,,,,,,,9142.0,11.2,2974.0,2.9,34770,Mackay (R),1802
2014,,,,,,,,,,,,,,,,,8218.0,,2891.0,,34770,Mackay (R),1803
2018,504393.2,,,,,,,,,,,,,,,,,,,,31900,Burdekin (S),1804
2017,,,,,,,,,,,,,,,,,2336.0,12.1,217.0,4.3,31900,Burdekin (S),1805
2016,,,1.0,,4.0,5.0,,17615.0,,6914.0,24529.0,,3.5,,1.4,4.9,2083.0,10.4,208.0,6.1,31900,Burdekin (S),1806
2015,,,,,,,,,,,,,,,,,1887.0,8.5,196.0,4.8,31900,Burdekin (S),1807
2014,,,,,,,,,,,,,,,,,1739.0,,187.0,,31900,Burdekin (S),1808
2018,752418.2,,,,,,,,,,,,,,,,,,,,22980,Hindmarsh (S),1809
2017,,,,,,,,,,,,,,,,,677.0,7.1,274.0,1.1,22980,Hindmarsh (S),1810
2016,,,2.0,,72.0,74.0,,222182.0,,34942.0,257124.0,,29.5,,4.6,34.2,632.0,6.2,271.0,3.8,22980,Hindmarsh (S),1811
2015,,,,,,,,,,,,,,,,,595.0,13.5,261.0,2.8,22980,Hindmarsh (S),1812
2014,,,,,,,,,,,,,,,,,524.0,,254.0,,22980,Hindmarsh (S),1813
2018,134271.9,,,,,,,,,,,,,,,,,,,,31000,Brisbane (C),1814
2017,,,,,,,,,,,,,,,,,107626.0,8.1,33692.0,3.4,31000,Brisbane (C),1815
2016,,,4.0,,19.0,23.0,,27840.0,,2929.0,30769.0,,20.7,,2.2,22.9,99598.0,6.5,32581.0,3.6,31000,Brisbane (C),1816
2018,165120.4,,,,,,,,,,,,,,,,,,,,58400,Trayning (S),1859
2017,,,,,,,,,,,,,,,,,31.0,6.9,44.0,4.8,58400,Trayning (S),1860
2016,,,,7.0,2.0,9.0,,,3044.0,583.0,3627.0,,,1.8,0.4,2.2,29.0,141.7,42.0,,58400,Trayning (S),1861
2015,,,,,,,,,,,,,,,,,12.0,50.0,42.0,,58400,Trayning (S),1862
2014,,,,,,,,,,,,,,,,,8.0,,42.0,,58400,Trayning (S),1863
2018,456668.0,,,,,,,,,,,,,,,,,,,,16950,Shoalhaven (C),1864
2017,,,,,,,,,,,,,,,,,7928.0,11.5,7725.0,3.0,16950,Shoalhaven (C),1865
2016,,,11.0,20.0,9.0,40.0,,196449.0,10182.0,22253.0,228883.0,,43.0,2.2,4.9,50.1,7110.0,7.1,7499.0,2.4,16950,Shoalhaven (C),1866
2015,,,,,,,,,,,,,,,,,6636.0,9.0,7326.0,2.9,16950,Shoalhaven (C),1867
2014,,,,,,,,,,,,,,,,,6088.0,,7117.0,,16950,Shoalhaven (C),1868
2018,1925810.1,,,,,,,,,,,,,,,,,,,,33610,Goondiwindi (R),1869
2017,,,,,,,,,,,,,,,,,1113.0,6.9,216.0,2.4,33610,Goondiwindi (R),1870
2016,,,2.0,,4.0,6.0,,12032.0,,5209.0,17241.0,,0.6,,0.3,0.9,1041.0,10.4,211.0,1.9,33610,Goondiwindi (R),1871
2015,,,,,,,,,,,,,,,,,943.0,9.7,207.0,2.0,33610,Goondiwindi (R),1872
2014,,,,,,,,,,,,,,,,,860.0,,203.0,,33610,Goondiwindi (R),1873
2018,742398.9,,,,,,,,,,,,,,,,,,,,30250,Aurukun (S),1874
2017,,,,,,,,,,,,,,,,,5.0,66.7,,,30250,Aurukun (S),1875
2016,,,,,,,,,,,,,,,,,3.0,50.0,,,30250,Aurukun (S),1876
2018,779.2,,,,,,,,,,,,,,,,,,,,46510,Prospect (C),2012
2018,3260529.0,,,,,,,,,,,,,,,,,,,,57630,Sandstone (S),1877
2017,,,,,,,,,,,,,,,,,20.0,5.3,10.0,,57630,Sandstone (S),1878
2016,,,4.0,1.0,,5.0,,367071.0,53.0,,367124.0,,11.3,,,11.3,19.0,,10.0,,57630,Sandstone (S),1879
2015,,,,,,,,,,,,,,,,,19.0,,10.0,,57630,Sandstone (S),1880
2014,,,,,,,,,,,,,,,,,19.0,,10.0,,57630,Sandstone (S),1881
2018,9321416.0,,,,,,,,,,,,,,,,,,,,19399,Unincorporated NSW,1882
2017,,,,,,,,,,,,,,,,,151.0,9.4,70.0,,19399,Unincorporated NSW,1883
2016,,,5.0,3.0,2.0,10.0,,454596.0,37163.0,28799.0,520558.0,,4.9,0.4,0.3,5.6,138.0,10.4,70.0,6.1,19399,Unincorporated NSW,1884
2015,,,,,,,,,,,,,,,,,125.0,12.6,66.0,6.5,19399,Unincorporated NSW,1885
2014,,,,,,,,,,,,,,,,,111.0,,62.0,,19399,Unincorporated NSW,1886
2018,547997.7,,,,,,,,,,,,,,,,,,,,13010,Glen Innes Severn (A),1887
2017,,,,,,,,,,,,,,,,,843.0,13.6,287.0,1.4,13010,Glen Innes Severn (A),1888
2016,,2.0,5.0,2.0,6.0,15.0,84.0,11536.0,7341.0,102535.0,121496.0,,2.1,1.3,18.7,22.2,742.0,14.3,283.0,1.8,13010,Glen Innes Severn (A),1889
2015,,,,,,,,,,,,,,,,,649.0,16.1,278.0,2.2,13010,Glen Innes Severn (A),1890
2014,,,,,,,,,,,,,,,,,559.0,,272.0,,13010,Glen Innes Severn (A),1891
2018,1034.5,,,,,,,,,,,,,,,,,,,,50350,Bassendean (T),1892
2017,,,,,,,,,,,,,,,,,1509.0,15.4,818.0,9.5,50350,Bassendean (T),1893
2016,,,,,,,,,,,,,,,,,1308.0,14.3,747.0,7.6,50350,Bassendean (T),1894
2015,,,,,,,,,,,,,,,,,1144.0,9.2,694.0,7.8,50350,Bassendean (T),1895
2014,,,,,,,,,,,,,,,,,1048.0,,644.0,,50350,Bassendean (T),1896
2018,128256.8,,,,,,,,,,,,,,,,,,,,21450,Cardinia (S),1897
2017,,,,,,,,,,,,,,,,,6441.0,12.1,9882.0,13.0,21450,Cardinia (S),1898
2016,,,1.0,,35.0,36.0,,12716.0,,1306.0,14022.0,,9.9,,1.0,10.9,5744.0,12.5,8749.0,12.3,21450,Cardinia (S),1899
2015,,,,,,,,,,,,,,,,,5104.0,16.0,7790.0,13.5,21450,Cardinia (S),1900
2014,,,,,,,,,,,,,,,,,4400.0,,6863.0,,21450,Cardinia (S),1901
2018,48493.9,,,,,,,,,,,,,,,,,,,,10250,Ballina (A),1902
2017,,,,,,,,,,,,,,,,,5754.0,15.5,5183.0,4.2,10250,Ballina (A),1903
2016,,1.0,,7.0,,8.0,861.0,,1311.0,,2172.0,1.8,,2.7,,4.5,4983.0,9.1,4975.0,6.7,10250,Ballina (A),1904
2015,,,,,,,,,,,,,,,,,4569.0,8.3,4663.0,5.9,10250,Ballina (A),1905
2014,,,,,,,,,,,,,,,,,4219.0,,4405.0,,10250,Ballina (A),1906
2018,3721.1,,,,,,,,,,,,,,,,,,,,20910,Bayside (C),1907
2017,,,,,,,,,,,,,,,,,3189.0,12.2,1682.0,9.1,20910,Bayside (C),1908
2016,,,,,,,,,,,,,,,,,2843.0,10.7,1541.0,8.4,20910,Bayside (C),1909
2015,,,,,,,,,,,,,,,,,2568.0,14.1,1421.0,15.2,20910,Bayside (C),1910
2014,,,,,,,,,,,,,,,,,2250.0,,1233.0,,20910,Bayside (C),1911
2018,2674.3,,,,,,,,,,,,,,,,,,,,17200,Sydney (C),1912
2017,,,,,,,,,,,,,,,,,1147.0,14.1,610.0,3.9,17200,Sydney (C),1913
2016,,,1.0,,,1.0,,6.0,,,6.0,,0.2,,,0.2,1005.0,14.6,587.0,2.4,17200,Sydney (C),1914
2015,,,,,,,,,,,,,,,,,877.0,13.7,573.0,4.8,17200,Sydney (C),1915
2014,,,,,,,,,,,,,,,,,771.0,,547.0,,17200,Sydney (C),1916
2018,809608.9,,,,,,,,,,,,,,,,,,,,17620,Upper Hunter Shire (A),1917
2017,,,,,,,,,,,,,,,,,1004.0,23.8,569.0,2.5,17620,Upper Hunter Shire (A),1918
2016,,,12.0,6.0,2.0,20.0,,54100.0,3083.0,11405.0,68588.0,,6.7,0.4,1.4,8.5,811.0,16.2,555.0,2.4,17620,Upper Hunter Shire (A),1919
2015,,,,,,,,,,,,,,,,,698.0,17.9,542.0,1.5,17620,Upper Hunter Shire (A),1920
2018,32271322.0,,,,,,,,,,,,,,,,,,,,70420,Barkly (R),1977
2017,,,,,,,,,,,,,,,,,2084.0,9.4,256.0,7.6,46510,Prospect (C),2013
2017,,,,,,,,,,,,,,,,,161.0,10.3,146.0,,70420,Barkly (R),1978
2016,,,,,,,,,,,,,,,,,1905.0,5.3,238.0,1.7,46510,Prospect (C),2014
2016,,2.0,,,7.0,9.0,2301427.0,,,295005.0,2596432.0,7.1,,,0.9,8.1,146.0,24.8,146.0,0.7,70420,Barkly (R),1979
2015,,,,,,,,,,,,,,,,,1809.0,5.9,234.0,2.2,46510,Prospect (C),2015
2015,,,,,,,,,,,,,,,,,117.0,41.0,145.0,,70420,Barkly (R),1980
2014,,,,,,,,,,,,,,,,,1709.0,,229.0,,46510,Prospect (C),2016
2018,1954.3,,,,,,,,,,,,,,,,,,,,27350,Yarra (C),2017
2017,,,,,,,,,,,,,,,,,1801.0,10.4,1047.0,3.4,27350,Yarra (C),2018
2016,,,,,,,,,,,,,,,,,1632.0,14.1,1013.0,3.5,27350,Yarra (C),2019
2015,,,,,,,,,,,,,,,,,1430.0,19.9,979.0,7.3,27350,Yarra (C),2020
2014,,,,,,,,,,,,,,,,,1193.0,,912.0,,27350,Yarra (C),2021
2014,,,,,,,,,,,,,,,,,83.0,,145.0,,70420,Barkly (R),1981
2018,7768.0,,,,,,,,,,,,,,,,,,,,41330,Coober Pedy (DC),1982
2017,,,,,,,,,,,,,,,,,10.0,11.1,124.0,0.8,41330,Coober Pedy (DC),1983
2016,,,,,,,,,,,,,,,,,9.0,,123.0,3.4,41330,Coober Pedy (DC),1984
2015,,,,,,,,,,,,,,,,,9.0,12.5,119.0,,41330,Coober Pedy (DC),1985
2014,,,,,,,,,,,,,,,,,8.0,,119.0,,41330,Coober Pedy (DC),1986
2018,10472.7,,,,,,,,,,,,,,,,,,,,57910,Stirling (C),1987
2017,,,,,,,,,,,,,,,,,14725.0,14.7,7927.0,5.1,57910,Stirling (C),1988
2016,,,,1.0,3.0,4.0,,,5.0,2.0,7.0,,,0.1,,0.1,12833.0,11.1,7545.0,5.2,57910,Stirling (C),1989
2015,,,,,,,,,,,,,,,,,11551.0,10.3,7171.0,5.4,57910,Stirling (C),1990
2014,,,,,,,,,,,,,,,,,10473.0,,6805.0,,57910,Stirling (C),1991
2018,398133.3,,,,,,,,,,,,,,,,,,,,51610,Chapman Valley (S),1992
2017,,,,,,,,,,,,,,,,,126.0,13.5,139.0,4.5,51610,Chapman Valley (S),1993
2016,,,1.0,10.0,3.0,14.0,,2.0,56701.0,844.0,57547.0,,,14.2,0.2,14.5,111.0,8.8,133.0,4.7,51610,Chapman Valley (S),1994
2018,11334.8,,,,,,,,,,,,,,,,,,,,24210,Manningham (C),2022
2018,268127.1,,,,,,,,,,,,,,,,,,,,52100,Corrigin (S),1997
2017,,,,,,,,,,,,,,,,,4689.0,9.3,1683.0,10.5,24210,Manningham (C),2023
2016,,,,,2.0,2.0,,,,634.0,634.0,,,,5.6,5.6,4291.0,8.8,1523.0,15.9,24210,Manningham (C),2024
2015,,,,,,,,,,,,,,,,,3943.0,12.6,1314.0,11.5,24210,Manningham (C),2025
2017,,,,,,,,,,,,,,,,,170.0,9.7,150.0,2.7,52100,Corrigin (S),1998
2014,,,,,,,,,,,,,,,,,3503.0,,1178.0,,24210,Manningham (C),2026
2018,124769.3,,,,,,,,,,,,,,,,,,,,35250,Mornington (S),2027
2017,,,,,,,,,,,,,,,,,5.0,25.0,,,35250,Mornington (S),2028
2016,,,,14.0,2.0,16.0,,,2984.0,277.0,3261.0,,,1.1,0.1,1.2,155.0,27.0,146.0,4.3,52100,Corrigin (S),1999
2016,,1.0,,,,1.0,123358.0,,,,123358.0,98.9,,,,98.9,4.0,33.3,,,35250,Mornington (S),2029
2015,,,,,,,,,,,,,,,,,3.0,50.0,,,35250,Mornington (S),2030
2018,1132593.2,,,,,,,,,,,,,,,,,,,,13850,Hay (A),2031
2015,,,,,,,,,,,,,,,,,122.0,13.0,140.0,11.1,52100,Corrigin (S),2000
2017,,,,,,,,,,,,,,,,,217.0,10.7,58.0,,13850,Hay (A),2032
2016,,1.0,6.0,1.0,1.0,9.0,4114.0,44279.0,411.0,80.0,48884.0,0.4,3.9,,,4.3,196.0,10.7,58.0,,13850,Hay (A),2033
2015,,,,,,,,,,,,,,,,,177.0,23.8,58.0,1.8,13850,Hay (A),2034
2014,,,,,,,,,,,,,,,,,108.0,,126.0,,52100,Corrigin (S),2001
2018,30594.6,,,,,,,,,,,,,,,,,,,,10050,Albury (C),2002
2017,,,,,,,,,,,,,,,,,4140.0,10.0,676.0,2.1,10050,Albury (C),2003
2016,,,,,1.0,1.0,,,,4.0,4.0,,,,,,3765.0,8.0,662.0,7.8,10050,Albury (C),2004
2018,1427.0,,,,,,,,,,,,,,,,,,,,47980,Unley (C),2051
2017,,,,,,,,,,,,,,,,,3736.0,10.8,489.0,3.2,47980,Unley (C),2052
2016,,,,,,,,,,,,,,,,,3373.0,7.9,474.0,4.9,47980,Unley (C),2053
2015,,,,,,,,,,,,,,,,,3125.0,6.8,452.0,3.7,47980,Unley (C),2054
2014,,,,,,,,,,,,,,,,,2926.0,,436.0,,47980,Unley (C),2055
2018,570221.0,,,,,,,,,,,,,,,,,,,,47290,Southern Mallee (DC),2056
2017,,,,,,,,,,,,,,,,,297.0,7.2,65.0,,47290,Southern Mallee (DC),2057
2016,,,,,36.0,36.0,,,,181663.0,181663.0,,,,31.9,31.9,277.0,8.6,65.0,1.6,47290,Southern Mallee (DC),2058
2015,,,,,,,,,,,,,,,,,255.0,12.8,64.0,1.6,47290,Southern Mallee (DC),2059
2014,,,,,,,,,,,,,,,,,226.0,,63.0,,47290,Southern Mallee (DC),2060
2018,283231.3,,,,,,,,,,,,,,,,,,,,54690,Koorda (S),2061
2017,,,,,,,,,,,,,,,,,36.0,50.0,34.0,3.0,54690,Koorda (S),2062
2016,,,,13.0,3.0,16.0,,,6507.0,34.0,6541.0,,,2.3,,2.3,24.0,50.0,33.0,3.1,54690,Koorda (S),2063
2015,,,,,,,,,,,,,,,,,16.0,23.1,32.0,10.3,54690,Koorda (S),2064
2014,,,,,,,,,,,,,,,,,13.0,,29.0,,54690,Koorda (S),2065
2018,51812.5,,,,,,,,,,,,,,,,,,,,45340,Onkaparinga (C),2066
2017,,,,,,,,,,,,,,,,,25518.0,6.6,4879.0,2.3,45340,Onkaparinga (C),2067
2016,,,1.0,,37.0,38.0,,1544.0,,1404.0,2948.0,,3.0,,2.7,5.7,23944.0,5.4,4767.0,2.8,45340,Onkaparinga (C),2068
2015,,,,,,,,,,,,,,,,,22707.0,5.7,4639.0,4.2,45340,Onkaparinga (C),2069
2014,,,,,,,,,,,,,,,,,21476.0,,4451.0,,45340,Onkaparinga (C),2070
2018,320835.9,,,,,,,,,,,,,,,,,,,,53570,Gingin (S),2071
2017,,,,,,,,,,,,,,,,,1053.0,13.2,930.0,6.9,53570,Gingin (S),2072
2016,,,3.0,23.0,2.0,28.0,,20047.0,31895.0,114.0,52057.0,,6.3,9.9,,16.2,930.0,9.4,870.0,4.2,53570,Gingin (S),2073
2015,,,,,,,,,,,,,,,,,850.0,11.5,835.0,5.3,53570,Gingin (S),2074
2014,,,,,,,,,,,,,,,,,762.0,,793.0,,53570,Gingin (S),2075
2018,242190.9,,,,,,,,,,,,,,,,,,,,22830,Greater Shepparton (C),2076
2017,,,,,,,,,,,,,,,,,5810.0,11.0,3291.0,6.9,22830,Greater Shepparton (C),2077
2016,,,1.0,,39.0,40.0,,4270.0,,5034.0,9304.0,,1.8,,2.1,3.8,5235.0,11.4,3079.0,7.5,22830,Greater Shepparton (C),2078
2015,,,,,,,,,,,,,,,,,4698.0,10.2,2865.0,10.5,22830,Greater Shepparton (C),2079
2014,,,,,,,,,,,,,,,,,4263.0,,2592.0,,22830,Greater Shepparton (C),2080
2018,352388.6,,,,,,,,,,,,,,,,,,,,60210,Break O'Day (M),2081
2017,,,,,,,,,,,,,,,,,643.0,8.4,130.0,4.0,60210,Break O'Day (M),2082
2016,,,3.0,1.0,119.0,123.0,,30578.0,4.0,51334.0,81916.0,,8.7,,14.6,23.3,593.0,9.4,125.0,5.9,60210,Break O'Day (M),2083
2015,,,,,,,,,,,,,,,,,542.0,10.6,118.0,8.3,60210,Break O'Day (M),2084
2014,,,,,,,,,,,,,,,,,490.0,,109.0,,60210,Break O'Day (M),2085
2018,4159950.8,,,,,,,,,,,,,,,,,,,,11150,Bourke (A),2086
2017,,,,,,,,,,,,,,,,,356.0,25.8,101.0,,11150,Bourke (A),2087
2016,,,4.0,2.0,2.0,8.0,,173767.0,88602.0,31975.0,294344.0,,4.2,2.1,0.8,7.1,283.0,25.2,101.0,1.0,11150,Bourke (A),2088
2015,,,,,,,,,,,,,,,,,226.0,69.9,100.0,,11150,Bourke (A),2089
2014,,,,,,,,,,,,,,,,,133.0,,100.0,,11150,Bourke (A),2090
2018,875225.9,,,,,,,,,,,,,,,,,,,,15270,Mid-Western Regional (A),2091
2017,,,,,,,,,,,,,,,,,1968.0,14.8,810.0,1.3,15270,Mid-Western Regional (A),2092
2016,,,3.0,2.0,3.0,8.0,,41981.0,8665.0,49661.0,100307.0,,4.8,1.0,5.7,11.5,1714.0,15.1,800.0,1.1,15270,Mid-Western Regional (A),2093
2015,,,,,,,,,,,,,,,,,1489.0,18.3,791.0,3.3,15270,Mid-Western Regional (A),2094
2014,,,,,,,,,,,,,,,,,1259.0,,766.0,,15270,Mid-Western Regional (A),2095
2018,322008.0,,,,,,,,,,,,,,,,,,,,13310,Goulburn Mulwaree (A),2096
2017,,,,,,,,,,,,,,,,,2006.0,13.7,347.0,3.6,13310,Goulburn Mulwaree (A),2097
2016,,,3.0,5.0,,8.0,,18810.0,4882.0,,23692.0,,5.8,1.5,,7.4,1765.0,10.7,335.0,2.4,13310,Goulburn Mulwaree (A),2098
2018,39055.8,,,,,,,,,,,,,,,,,,,,37550,Woorabinda (S),2111
2018,563.8,,,,,,,,,,,,,,,,,,,,74560,Wagait (S),2426
2017,,,,,,,,,,,,,,,,,7.0,,3.0,,37550,Woorabinda (S),2112
2017,,,,,,,,,,,,,,,,,7.0,40.0,9.0,12.5,74560,Wagait (S),2427
2016,,,,,,,,,,,,,,,,,7.0,,3.0,,37550,Woorabinda (S),2113
2016,,,,,,,,,,,,,,,,,5.0,66.7,8.0,14.3,74560,Wagait (S),2428
2015,,,,,,,,,,,,,,,,,7.0,,3.0,,37550,Woorabinda (S),2114
2015,,,,,,,,,,,,,,,,,3.0,,7.0,16.7,74560,Wagait (S),2429
2014,,,,,,,,,,,,,,,,,7.0,,3.0,,37550,Woorabinda (S),2115
2018,261549.3,,,,,,,,,,,,,,,,,,,,65010,Southern Midlands (M),2116
2017,,,,,,,,,,,,,,,,,376.0,6.5,51.0,,65010,Southern Midlands (M),2117
2016,,,,8.0,78.0,86.0,,,1259.0,17286.0,18545.0,,,0.5,6.6,7.1,353.0,11.0,51.0,2.0,65010,Southern Midlands (M),2118
2015,,,,,,,,,,,,,,,,,318.0,8.5,50.0,4.2,65010,Southern Midlands (M),2119
2014,,,,,,,,,,,,,,,,,293.0,,48.0,,65010,Southern Midlands (M),2120
2018,30574.0,,,,,,,,,,,,,,,,,,,,14900,Liverpool (C),2121
2017,,,,,,,,,,,,,,,,,9561.0,10.2,2852.0,1.8,14900,Liverpool (C),2122
2016,,,1.0,2.0,2.0,5.0,,47.0,423.0,87.0,556.0,,0.2,1.4,0.3,1.8,8677.0,7.1,2801.0,3.3,14900,Liverpool (C),2123
2015,,,,,,,,,,,,,,,,,8103.0,9.9,2711.0,4.1,14900,Liverpool (C),2124
2014,,,,,,,,,,,,,,,,,7372.0,,2603.0,,14900,Liverpool (C),2125
2018,667494.7,,,,,,,,,,,,,,,,,,,,26670,Towong (S),2126
2017,,,,,,,,,,,,,,,,,880.0,5.5,327.0,6.2,26670,Towong (S),2127
2016,,,9.0,,43.0,52.0,,110741.0,,32812.0,143552.0,,16.6,,4.9,21.5,834.0,5.7,308.0,6.6,26670,Towong (S),2128
2015,,,,,,,,,,,,,,,,,789.0,15.4,289.0,6.6,26670,Towong (S),2129
2014,,,,,,,,,,,,,,,,,684.0,,271.0,,26670,Towong (S),2130
2018,2658074.8,,,,,,,,,,,,,,,,,,,,36300,Richmond (S),2131
2017,,,,,,,,,,,,,,,,,91.0,28.2,20.0,,36300,Richmond (S),2132
2016,,,,,1.0,1.0,,,,6568.0,6568.0,,,,0.3,0.3,71.0,16.4,20.0,,36300,Richmond (S),2133
2015,,,,,,,,,,,,,,,,,61.0,41.9,20.0,,36300,Richmond (S),2134
2014,,,,,,,,,,,,,,,,,43.0,,20.0,,36300,Richmond (S),2135
2018,28301.4,,,,,,,,,,,,,,,,,,,,29399,Unincorporated Vic,2136
2017,,,,,,,,,,,,,,,,,134.0,9.8,46.0,7.0,29399,Unincorporated Vic,2137
2016,,,8.0,,3.0,11.0,,10814.0,,120.0,10934.0,,38.2,,0.4,38.6,122.0,10.9,43.0,4.9,29399,Unincorporated Vic,2138
2015,,,,,,,,,,,,,,,,,110.0,11.1,41.0,5.1,29399,Unincorporated Vic,2139
2018,121990.3,,,,,,,,,,,,,,,,,,,,51680,Chittering (S),2256
2017,,,,,,,,,,,,,,,,,859.0,11.3,927.0,5.1,51680,Chittering (S),2257
2016,,,2.0,11.0,1.0,14.0,,10.0,1874.0,49.0,1934.0,,,1.5,,1.6,772.0,12.0,882.0,6.3,51680,Chittering (S),2258
2015,,,,,,,,,,,,,,,,,689.0,15.2,830.0,8.1,51680,Chittering (S),2259
2014,,,,,,,,,,,,,,,,,598.0,,768.0,,51680,Chittering (S),2260
2018,11131.8,,,,,,,,,,,,,,,,,,,,71000,Darwin (C),2261
2017,,,,,,,,,,,,,,,,,2870.0,34.7,5938.0,5.3,71000,Darwin (C),2262
2016,,,,,3.0,3.0,,,,632.0,632.0,,,,5.7,5.7,2130.0,39.6,5637.0,5.5,71000,Darwin (C),2263
2015,,,,,,,,,,,,,,,,,1526.0,36.7,5344.0,6.8,71000,Darwin (C),2264
2014,,,,,,,,,,,,,,,,,1116.0,,5003.0,,71000,Darwin (C),2265
2018,93249.1,,,,,,,,,,,,,,,,,,,,40150,Adelaide Plains (DC),2266
2018,3042876.5,,,,,,,,,,,,,,,,,,,,59360,Yilgarn (S),2291
2014,,,,,,,,,,,,,,,,,3.0,,6.0,,74560,Wagait (S),2430
