lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Flinders Ranges (DC),41830,3,3,4,7,9,12,0,0,0,9,15,20,7,12,15,57,43,95,0,0,0,62,52,118,3,6,9,30,31,65,3,0,3,40,37,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,4,8,0,0,0,3,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,5,11,0,0,0,10,9,20,0,0,0,0,3,5,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,20,0,0,0,7,18,27,0,0,0,0,6,6,0,0,0,0,6,6,21,21,37,19,24,41,37,40
Holdfast Bay (C),42600,4,3,6,180,167,348,0,0,0,189,173,357,8,12,22,1172,1184,2359,4,4,10,1191,1196,2387,11,10,23,893,792,1687,4,3,10,914,808,1717,0,0,0,57,31,85,0,0,0,58,32,88,0,0,0,37,56,100,0,0,0,37,57,97,0,0,0,90,49,135,0,0,0,90,49,135,0,3,3,102,166,262,0,0,0,99,169,268,0,0,0,0,0,5,0,0,0,0,0,5,3,4,9,286,299,578,0,0,0,283,304,584,0,3,5,438,588,1031,3,0,4,443,600,1042,4,3,3,174,232,401,0,3,3,174,237,407,0,0,0,56,67,124,0,0,0,61,64,127,3,3,3,158,277,438,0,3,3,162,282,444,0,0,0,4,3,10,0,0,0,4,3,10,6,11,16,836,1169,2000,3,11,9,842,1189,2034,4,3,6,70,118,196,3,0,3,78,123,198,4,0,4,190,282,470,806,863
Kangaroo Island (DC),42750,0,0,0,31,20,51,0,0,0,31,25,55,6,3,10,185,150,334,0,3,4,192,158,347,3,3,4,107,119,230,0,0,0,116,127,240,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,8,6,0,0,0,0,6,8,0,0,0,5,3,11,0,0,0,9,5,16,0,0,0,5,16,26,0,0,0,5,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17,32,42,0,0,0,17,28,51,0,0,0,3,0,3,0,0,0,3,0,4,0,0,0,3,5,7,0,0,0,3,5,7,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,13,18,0,0,0,3,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,29,0,0,0,11,22,32,0,0,0,3,14,18,0,0,0,4,14,21,3,0,7,38,49,88,204,182
Karoonda East Murray (DC),43080,0,0,0,7,4,12,0,0,0,9,4,11,3,0,3,56,52,105,0,0,0,64,49,110,0,0,0,27,31,57,3,0,3,27,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,3,4,5,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,0,0,0,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,14,15,33,27,25
Kingston (DC) (SA),43360,0,0,0,11,3,15,0,3,3,11,7,18,3,0,3,100,70,173,4,0,3,105,72,179,12,3,11,49,43,93,0,0,0,54,48,99,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,7,3,8,0,0,0,7,3,8,0,0,0,3,5,7,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,26,0,0,0,11,10,24,0,0,0,3,6,7,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,8,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,0,0,0,6,10,17,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,30,47,83,69,63
Light (RegC),43650,3,3,7,99,93,185,0,0,0,96,96,196,18,15,27,897,785,1687,10,7,12,923,810,1731,3,4,14,525,512,1043,4,4,6,539,521,1060,0,0,0,15,16,36,0,0,0,15,16,36,0,0,0,3,22,25,0,0,0,3,20,29,0,0,0,36,32,66,0,0,0,36,28,71,0,0,0,36,69,107,0,0,0,36,69,107,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,93,140,238,0,0,0,93,144,244,0,3,3,81,167,247,0,0,3,83,167,253,0,0,0,25,47,69,0,0,0,25,47,72,0,0,0,6,16,27,0,0,0,6,16,27,0,0,0,21,75,97,0,0,0,21,75,97,0,0,0,0,0,3,0,0,0,0,0,3,0,6,7,136,307,443,0,0,3,143,308,451,0,0,0,11,46,57,0,0,0,14,46,60,0,0,0,134,144,274,301,243
Lower Eyre Peninsula (DC),43710,0,4,4,33,21,57,0,0,3,38,28,65,6,10,20,279,225,506,3,3,6,288,247,536,3,8,13,165,152,317,3,5,9,173,166,337,0,0,0,3,5,7,0,0,0,3,5,7,0,0,0,3,7,6,0,0,0,3,7,5,0,0,0,3,10,12,0,0,0,3,10,14,0,0,0,8,27,37,0,0,0,8,27,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,64,0,3,3,23,45,67,0,0,0,0,6,7,0,0,0,0,6,7,0,0,0,0,13,14,0,0,0,0,15,19,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,8,14,20,0,0,0,8,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,39,46,0,0,0,13,37,49,0,0,0,4,15,22,0,0,0,4,15,22,64,21,83,228,73,300,155,125
Loxton Waikerie (DC),43790,7,5,12,51,47,102,0,0,3,59,53,110,24,31,58,469,464,933,19,4,23,515,498,1010,14,19,30,309,338,651,9,3,13,334,358,694,0,0,0,10,8,14,0,0,0,10,6,16,0,0,0,7,14,16,0,0,0,7,14,16,0,0,3,27,17,45,0,0,0,31,20,44,0,0,0,16,53,69,0,0,0,16,54,69,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,61,85,151,0,0,0,64,94,153,0,0,0,13,25,42,0,0,0,13,25,42,0,0,0,3,18,16,0,0,0,3,18,16,0,0,0,3,8,9,0,0,0,3,8,9,0,0,0,12,25,40,0,0,0,16,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,73,105,0,0,0,32,76,108,0,5,5,23,31,52,0,0,0,23,35,56,4,14,18,112,129,240,268,262
Mallala (DC),43920,4,0,4,55,43,101,0,0,0,62,49,108,22,15,34,428,369,794,7,4,19,462,389,853,7,18,26,252,244,499,7,4,15,272,274,540,0,0,0,9,9,16,0,0,0,9,9,17,0,0,0,7,21,24,0,0,0,7,18,21,0,0,4,16,34,49,0,0,0,15,33,53,0,0,0,13,51,62,0,0,0,13,50,66,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,46,106,151,0,0,0,52,109,163,0,0,0,38,44,76,0,0,0,42,41,85,0,0,0,3,25,27,0,0,0,3,25,27,0,0,0,6,0,5,0,0,0,3,0,10,0,0,0,10,23,36,0,0,0,11,25,37,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,53,90,144,0,0,0,58,93,148,0,0,0,11,29,44,0,0,0,11,32,46,0,6,12,101,73,176,254,237
Mount Barker (DC),44550,10,3,16,207,196,406,3,5,9,221,211,428,27,50,75,1658,1551,3208,23,16,42,1711,1616,3322,18,14,33,1119,1071,2188,8,11,21,1146,1096,2241,0,0,0,39,74,106,0,0,0,41,74,110,0,0,0,23,79,106,0,0,0,23,81,106,0,4,8,96,73,171,0,4,4,101,79,176,3,0,3,84,182,273,0,0,0,88,183,274,0,0,0,0,3,3,0,0,0,0,3,3,5,6,8,245,412,656,0,4,4,252,420,671,0,3,3,212,366,579,3,3,8,213,376,592,0,3,3,81,137,217,0,0,0,81,141,222,0,0,0,37,50,85,0,0,0,37,50,85,4,4,6,111,238,355,0,3,4,114,245,363,0,0,0,0,3,6,0,0,0,0,3,6,4,12,8,445,797,1244,0,4,10,454,810,1264,4,0,3,55,124,177,0,0,0,60,126,181,4,4,11,286,329,618,683,698
Kimba (DC),43220,0,0,0,10,11,20,0,0,0,16,11,24,0,0,3,52,55,107,0,0,0,52,59,113,0,0,3,25,17,40,0,0,0,26,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,37,25,27
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,39,3,0,3,0,0
Marion (C),44060,9,7,13,545,485,1030,4,8,8,558,493,1050,77,82,162,3363,3263,6627,22,28,48,3464,3380,6840,54,60,116,2229,2197,4426,25,19,44,2306,2279,4586,4,3,10,145,155,305,0,0,0,152,160,311,0,0,5,139,244,384,0,0,0,142,250,387,4,8,6,189,94,288,4,0,4,194,101,297,4,10,12,304,421,724,0,0,0,309,431,739,0,0,0,5,8,13,0,0,0,5,8,13,11,17,33,785,924,1711,4,0,4,804,941,1744,17,15,29,1265,1642,2906,5,11,8,1282,1665,2946,8,7,18,683,769,1453,0,3,3,696,777,1469,0,0,3,113,171,280,3,0,3,118,171,287,0,5,8,412,657,1066,6,0,5,419,666,1081,0,0,0,4,15,14,0,0,0,4,15,14,24,28,51,2478,3254,5724,16,11,26,2517,3291,5801,3,10,16,249,368,620,0,0,0,253,384,641,29,13,42,557,725,1281,1449,1471
Mid Murray (DC),44210,5,0,10,30,27,61,0,0,0,35,29,69,14,10,24,270,244,514,8,7,17,289,264,550,15,12,25,181,179,356,4,0,3,201,190,389,0,0,0,5,3,12,0,0,0,5,3,12,0,0,0,0,8,11,0,0,0,0,8,11,0,0,0,15,14,32,0,0,0,15,14,32,0,0,0,12,38,50,0,0,0,12,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,32,64,102,0,0,0,32,64,100,0,0,0,13,36,44,0,0,0,13,36,44,0,0,0,3,10,16,0,0,0,3,10,16,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,3,18,25,0,0,0,3,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,66,93,0,0,0,25,66,98,4,0,3,9,15,26,0,0,0,11,20,26,25,10,31,320,114,437,260,251
Mitcham (C),44340,6,4,9,431,410,841,3,0,6,433,415,847,20,24,41,2974,2964,5944,15,17,27,3007,3005,6010,10,16,28,2051,1979,4031,21,12,31,2081,2010,4090,4,0,4,77,89,166,0,0,0,85,89,172,0,0,0,77,93,173,0,0,0,77,93,173,0,0,0,100,74,178,0,0,0,100,74,177,0,3,3,184,271,459,0,0,0,190,272,465,0,0,0,0,3,0,0,0,0,0,3,0,8,3,9,451,531,977,0,0,3,451,530,987,14,16,26,1211,1543,2755,5,5,18,1233,1568,2799,3,4,6,554,658,1214,0,4,3,565,664,1223,0,3,3,108,123,235,0,0,0,108,127,233,0,5,5,356,587,943,0,0,5,355,597,949,0,0,0,7,18,22,0,0,0,7,15,26,18,31,49,2243,2921,5163,8,14,26,2267,2964,5236,0,3,0,174,224,395,0,3,3,173,229,403,4,8,15,345,445,787,1020,973
Mount Gambier (C),44620,12,7,15,161,135,295,3,0,7,175,145,316,67,51,119,1252,1203,2454,16,18,28,1339,1267,2602,26,24,53,734,787,1521,6,4,15,771,815,1587,0,0,3,27,42,67,0,0,0,23,40,71,0,3,3,34,70,101,0,0,0,34,73,104,3,0,3,62,78,139,0,3,3,66,82,143,0,0,3,53,133,186,0,3,3,57,141,195,0,0,0,0,4,4,0,0,0,0,4,4,3,10,14,173,324,499,0,3,3,183,340,519,0,3,3,59,110,168,0,0,0,59,114,172,3,3,3,13,65,82,0,0,0,20,70,84,0,0,0,5,18,30,0,0,0,5,18,30,0,3,3,50,117,173,0,0,0,50,124,178,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,134,320,453,0,3,3,137,333,469,5,0,3,57,102,157,5,0,5,62,98,161,17,18,37,290,326,614,537,565
Mount Remarkable (DC),44830,0,0,3,12,13,25,0,0,0,13,13,29,9,6,15,98,95,186,0,0,0,104,101,208,3,3,10,76,71,149,0,0,0,85,74,158,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,8,8,0,0,0,11,8,12,0,0,0,11,8,12,0,3,3,6,12,15,0,0,0,6,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,17,26,37,0,0,0,17,26,43,0,0,0,5,5,9,0,0,0,5,5,9,0,0,0,0,8,5,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,4,8,13,0,0,0,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,35,0,0,0,8,26,31,0,0,0,0,5,11,0,0,0,0,5,11,3,0,3,30,26,57,78,81
Murray Bridge (RC),45040,22,11,32,101,99,197,0,3,4,118,115,229,84,78,162,812,753,1567,14,9,19,905,839,1746,47,40,87,496,516,1014,13,3,23,562,562,1124,0,0,0,31,27,56,0,0,0,31,31,63,0,0,3,16,33,47,0,0,0,13,36,50,0,3,3,36,51,91,0,0,0,37,52,94,0,0,6,44,104,142,0,0,0,44,106,149,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,123,214,340,3,0,3,131,224,355,0,10,10,62,100,154,0,0,0,62,104,164,0,3,3,22,29,55,0,0,0,22,33,55,0,0,0,9,13,21,0,0,0,9,18,20,0,6,6,29,68,95,0,0,0,29,75,100,0,0,0,0,0,4,0,0,0,4,0,3,0,13,13,121,212,333,0,0,0,121,231,347,3,6,11,40,66,109,3,0,3,44,72,118,100,22,118,548,297,850,486,474
Orroroo/Carrieton (DC),45400,0,0,0,4,3,8,0,0,0,4,3,8,0,3,5,38,32,67,0,0,0,42,31,73,0,3,3,21,24,43,0,0,0,21,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,6,4,9,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,16,0,0,0,7,4,16,0,0,0,4,3,4,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,23,31,33
Naracoorte and Lucindale (DC),45090,0,5,3,67,58,120,0,0,3,70,61,131,13,7,23,443,370,812,3,4,6,460,383,845,7,12,17,223,198,415,0,0,0,230,205,440,0,0,0,6,0,7,0,0,0,6,0,10,0,0,0,0,9,6,0,0,0,0,9,6,0,0,0,14,13,23,0,0,0,14,8,22,0,0,0,20,40,52,0,0,0,20,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,37,54,98,0,0,0,37,60,97,0,0,0,4,11,14,0,0,0,4,11,14,0,0,0,5,7,13,0,0,0,5,7,13,0,0,0,5,9,10,0,0,0,5,9,10,0,0,0,13,27,40,0,0,0,13,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,79,0,0,0,24,52,79,0,0,0,16,30,48,0,0,0,16,28,51,4,8,10,109,116,228,146,130
Northern Areas (DC),45120,0,0,0,28,20,43,0,0,0,28,17,46,9,4,12,188,187,369,0,0,3,196,189,384,3,3,3,118,107,223,0,0,0,122,110,231,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,11,8,0,0,0,0,11,8,0,0,0,4,4,12,0,0,0,4,4,12,0,0,0,15,10,29,0,0,0,15,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,57,0,0,0,20,32,58,0,0,0,3,4,12,0,0,0,3,4,12,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,7,11,22,0,0,0,8,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,39,0,0,0,11,30,40,0,0,0,8,9,19,0,0,0,6,9,20,8,0,9,53,43,95,119,97
Norwood Payneham St Peters (C),45290,0,3,4,205,202,409,3,3,3,206,209,422,21,11,39,1263,1196,2461,8,9,22,1289,1221,2517,14,11,25,1006,803,1806,5,4,11,1027,825,1850,0,0,3,61,43,96,0,0,0,60,38,100,3,0,3,81,105,184,0,0,0,84,108,189,0,3,3,40,40,77,0,0,0,40,38,84,0,0,0,98,153,254,0,0,0,101,158,255,0,0,0,3,3,3,0,0,0,3,4,9,3,5,9,284,341,619,0,0,3,289,346,634,3,6,7,767,909,1674,4,0,4,774,909,1686,3,5,8,390,417,807,0,6,6,402,423,823,0,0,0,68,70,134,0,0,0,68,70,134,0,0,3,227,312,539,0,0,0,228,314,545,0,0,0,9,0,10,0,0,0,9,0,10,9,9,19,1465,1703,3166,4,6,10,1475,1720,3196,0,0,0,98,154,253,0,0,3,98,161,258,0,5,3,226,253,478,688,723
Onkaparinga (C),45340,36,48,85,1002,954,1950,7,13,19,1046,1012,2060,256,238,497,7649,7090,14738,64,67,135,7970,7398,15368,159,129,290,4756,4714,9467,52,55,113,4968,4901,9865,10,11,21,208,251,456,3,3,5,229,260,484,3,10,13,157,348,502,0,3,3,157,360,517,7,10,19,412,305,715,3,0,4,415,314,734,7,10,18,487,794,1284,0,5,5,492,811,1303,0,0,0,12,5,19,0,0,0,12,9,20,31,40,73,1267,1698,2970,8,10,22,1310,1754,3063,8,32,44,1148,1611,2757,5,8,11,1167,1647,2812,8,15,24,421,649,1066,3,0,3,432,664,1094,5,4,11,173,234,402,0,0,4,178,236,417,5,20,25,474,927,1399,5,4,9,479,945,1432,0,0,0,8,10,19,0,0,0,8,15,20,26,76,101,2227,3427,5647,13,15,25,2265,3509,5770,9,19,34,372,667,1042,3,5,8,387,692,1079,67,73,137,1290,1460,2751,3319,3439
Peterborough (DC),45540,0,4,7,0,3,8,0,0,0,5,6,12,10,17,23,48,39,88,0,0,0,56,54,107,9,0,8,39,31,67,0,0,0,43,33,81,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,4,6,0,0,0,3,4,6,0,0,3,0,3,3,0,0,0,3,5,7,0,0,0,5,10,13,0,0,0,5,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,27,0,0,0,13,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,3,4,11,0,0,0,0,5,5,0,0,0,0,5,5,3,0,3,29,28,55,57,45
Playford (C),45680,68,58,130,653,619,1266,10,3,11,722,682,1405,264,268,531,4328,4105,8436,56,52,112,4648,4427,9071,143,159,299,2527,2400,4930,39,33,71,2710,2588,5303,3,10,18,202,229,430,4,3,4,211,242,455,3,7,13,168,340,509,0,3,5,175,356,533,10,3,16,186,201,391,3,0,5,201,211,404,10,11,20,300,538,838,3,4,9,307,555,868,0,0,0,8,8,23,0,0,3,9,9,21,23,41,65,872,1321,2197,12,8,26,902,1376,2280,11,9,21,474,646,1123,3,3,3,489,661,1149,4,13,20,199,264,460,0,4,4,197,280,478,0,3,4,70,109,178,0,0,0,71,109,185,8,11,14,192,338,533,0,0,0,194,352,548,0,0,0,0,7,9,0,0,0,3,7,10,15,34,56,935,1369,2299,8,9,10,953,1413,2365,16,24,41,289,529,820,3,0,5,308,556,863,102,94,199,1154,1183,2336,2362,2293
